CRATER_ID,LAT_CIRC_IMG,LON_CIRC_IMG,LAT_ELLI_IMG,LON_ELLI_IMG,DIAM_CIRC_IMG,DIAM_CIRC_SD_IMG,DIAM_ELLI_MAJOR_IMG,DIAM_ELLI_MINOR_IMG,DIAM_ELLI_ECCEN_IMG,DIAM_ELLI_ELLIP_IMG,DIAM_ELLI_ANGLE_IMG,LAT_ELLI_SD_IMG,LON_ELLI_SD_IMG,DIAM_ELLI_MAJOR_SD_IMG,DIAM_ELLI_MINOR_SD_IMG,DIAM_ELLI_ANGLE_SD_IMG,DIAM_ELLI_ECCEN_SD_IMG,DIAM_ELLI_ELLIP_SD_IMG,ARC_IMG,PTS_RIM_IMG
04-1-089031,44.0799,293.452,44.0798,293.452,2.20339,0.0574021,2.30041,2.09736,0.410784,1.09681,79.4828,0.000309076,0.000404887,0.0228805,0.0224376,4.99879,0.0295593,0.0160216,1,27
04-1-089036,44.4743,292.506,44.4743,292.506,1.0838,0.0171259,1.124,1.03621,0.38743,1.08472,101.382,0.000151298,0.000216029,0.0111094,0.0117163,5.97269,0.0329442,0.0162901,1,14
04-1-089043,44.1386,290.047,44.1386,290.047,1.35037,0.0184849,1.38028,1.31963,0.293153,1.04595,91.4532,0.000168994,0.00022671,0.012244,0.0119001,9.73752,0.0394414,0.0132307,1,15
04-1-089044,44.1375,289.838,44.1375,289.838,1.69658,0.027608,1.73439,1.65749,0.294475,1.0464,122.614,0.000241866,0.000368562,0.0188904,0.0178367,11.8123,0.0474863,0.0160216,0.903868,22
04-1-089045,44.196,289.69,44.1963,289.69,1.57647,0.0486655,1.66513,1.49122,0.444938,1.11662,59.9238,0.000350143,0.000491794,0.0272622,0.0241146,7.08848,0.041481,0.0256958,1,20
04-1-089046,44.1327,289.643,44.1326,289.643,1.52512,0.0346696,1.60941,1.44556,0.439596,1.11334,101.914,0.000250877,0.0003127,0.0186928,0.0163127,5.05963,0.0297195,0.0180295,1,17
04-1-089047,44.2119,289.567,44.2121,289.567,1.5563,0.117362,1.89385,1.2715,0.741111,1.48946,140.264,0.000367447,0.000544366,0.0318749,0.0229128,2.04015,0.0149972,0.036727,1,21
04-1-089048,44.4422,289.482,44.4422,289.482,1.04379,0.0266418,1.088,0.99711,0.400128,1.09116,77.7674,0.000185963,0.000256047,0.0137738,0.0133532,7.12716,0.0386829,0.0201085,1,14
04-1-089053,44.9691,288.514,44.9691,288.514,1.56678,0.0254452,1.58909,1.54209,0.241423,1.03048,99.0408,0.000226208,0.000316218,0.0166925,0.0164282,16.822,0.0583585,0.0154171,1,19
04-1-089056,44.884,287.157,44.884,287.157,1.06233,0.0179724,1.09963,1.02471,0.362792,1.07311,94.8374,0.000130513,0.000173734,0.00876629,0.00850274,6.53112,0.0275426,0.012348,0.806399,11
04-1-089058,44.7471,286.883,44.747,286.883,1.48459,0.0474041,1.58395,1.37708,0.494111,1.15022,88.3236,0.000242677,0.000319243,0.0180213,0.0173471,3.84009,0.0259662,0.0195243,1,18
04-1-089059,44.4939,287.07,44.4939,287.07,1.16025,0.0334651,1.22567,1.09356,0.451608,1.1208,84.2717,0.000263565,0.000338267,0.0192908,0.0176915,6.70943,0.0397855,0.0252974,1,11
