selenographic crater coordinates: ID, X, Y, Z, a_dia_metres, b_dia_metres, angle(degree)
04-1-081413, 442455.86145745, -1282221.93136548, 1085678.81502189, 1.09, 1.06, 0.64
04-1-081414, 434355.02487144, -1285166.70789432, 1085468.10422463, 1.17, 1.08, 1.55
04-1-081415, 428320.80738949, -1286754.99028156, 1085984.18079764, 1.13, 1.09, 0.75
04-1-081419, 443561.75170007, -1291784.62775922, 1073826.89848678, 3.51, 3.36, 2.76
04-1-081421, 448448.76476883, -1291979.05834224, 1071560.81403829, 1.11, 1.00, 1.56
04-1-081427, 450992.25806117, -1288913.36804275, 1074182.04828120, 2.87, 2.81, 2.70
04-1-081436, 412438.19497394, -1309042.75750099, 1065298.34054167, 1.13, 0.97, 1.36
04-1-081439, 398796.35107234, -1305463.40054971, 1074842.10012288, 1.93, 1.80, 1.23
04-1-081445, 387516.75435194, -1316414.49417022, 1065571.39818742, 1.07, 1.00, 1.32
04-1-081447, 392499.75246091, -1321921.58508204, 1056894.52038144, 1.72, 1.62, 1.15
04-1-081448, 373244.62662667, -1310980.14968189, 1077301.37651187, 1.08, 0.98, 2.37
04-1-081449, 361372.82077194, -1315272.72053493, 1076116.21817718, 1.81, 1.74, 1.62
04-1-081451, 358825.52783626, -1321882.67314732, 1068844.79650037, 1.20, 1.09, 1.77
04-1-081460, 357691.01179062, -1333431.46067914, 1054787.39078324, 2.90, 2.67, 1.88
04-1-081462, 351238.29909433, -1327600.85377075, 1064268.00680867, 1.38, 1.32, 0.96
04-1-081475, 332117.41278528, -1335226.64120616, 1060861.25423550, 1.07, 0.96, 2.29
04-1-081478, 327010.69623257, -1339521.15560527, 1057026.88624055, 1.17, 1.11, 2.16
04-1-081479, 327311.10988346, -1340345.57509723, 1055888.22167128, 1.05, 0.95, 1.92
04-1-081481, 313826.79060855, -1327580.74868808, 1075918.61272548, 1.26, 1.19, 1.78
04-1-081487, 309103.28886962, -1336957.03526724, 1065626.48365149, 1.08, 0.96, 1.51
04-1-081488, 307342.50551322, -1340959.87898836, 1061096.57771966, 1.48, 1.45, 1.09
04-1-081493, 307758.78941848, -1335069.48436891, 1068378.56560426, 1.15, 0.99, 1.09
04-1-081499, 303316.18046572, -1326688.66369479, 1080025.57575801, 1.39, 1.29, 1.30
04-1-081505, 279735.53806864, -1332510.96494339, 1079222.55213977, 2.24, 2.05, 1.64
04-1-081517, 277110.32843855, -1343190.83816522, 1066586.61070806, 1.78, 1.55, 1.77
04-1-081525, 272198.52381406, -1350197.49406540, 1058977.54964539, 1.18, 1.12, 1.19
04-1-081528, 266556.98136204, -1339828.01197121, 1073483.59746408, 1.31, 1.25, 0.55
04-1-081529, 263494.60768509, -1336866.89942585, 1077922.18872254, 1.29, 1.17, 0.74
04-1-081531, 250655.01335828, -1337555.59037438, 1080127.70862366, 1.05, 0.98, 2.67
04-1-081532, 251996.95665022, -1341225.06823930, 1075254.20722986, 3.85, 3.65, 0.46
04-1-081539, 240256.46375190, -1354955.05379008, 1060628.30144880, 1.04, 0.98, 1.23
04-1-081542, 249760.50802080, -1355374.76874944, 1057893.04037345, 1.95, 1.78, 1.19
04-1-081543, 251546.42456558, -1354715.75162474, 1058313.93668802, 1.29, 1.15, 1.18
04-1-081544, 249129.49604974, -1358200.91473899, 1054411.46114795, 1.13, 0.98, 1.02
04-1-081546, 260670.28891151, -1356063.25389235, 1054372.89984221, 1.25, 1.18, 1.36
04-1-081558, 240588.92966381, -1344676.58655736, 1073555.12410293, 1.62, 1.53, 0.99
04-1-081559, 238152.70878342, -1344045.83231535, 1074887.36523176, 2.01, 1.80, 1.12
04-1-081560, 243690.91213611, -1348031.48579970, 1068636.80108582, 3.82, 3.61, 1.59
04-1-082412, 234921.55125705, -1327968.85389360, 1095385.47910930, 1.10, 1.07, 1.36
04-1-082413, 240525.44778549, -1323788.71627450, 1099222.31765549, 1.58, 1.50, 2.76
04-1-082415, 244313.13324112, -1321929.44374550, 1100623.64079853, 1.23, 1.03, 1.64
04-1-082416, 242758.27005780, -1330137.23488885, 1091037.17566396, 1.43, 1.36, 1.67
04-1-082417, 241182.81153431, -1331369.63071330, 1089882.80004537, 1.64, 1.37, 1.44
04-1-082423, 242782.25315913, -1342469.63860968, 1075820.99206242, 1.11, 1.04, 1.81
04-1-082424, 243414.48807702, -1341419.57089094, 1076987.31739281, 1.39, 1.31, 1.73
04-1-082426, 246719.08620425, -1335077.95931565, 1084091.92186460, 1.79, 1.76, 2.35
04-1-082428, 256425.55315540, -1331724.19190542, 1085962.87799482, 1.37, 1.35, 0.23
04-1-082435, 255567.48889311, -1320316.24322303, 1100004.10749337, 1.19, 1.03, 1.91
04-1-082436, 255747.08272502, -1318161.09221134, 1102544.11460850, 1.27, 1.15, 2.16
04-1-082437, 260936.83443410, -1317224.00363257, 1102448.02720568, 1.19, 1.10, 1.37
04-1-082439, 270621.33664383, -1322347.68857082, 1093946.72753499, 1.15, 0.99, 2.05
04-1-082440, 266535.80820011, -1319255.72047714, 1098672.72967679, 1.12, 1.05, 1.99
04-1-082443, 255353.94430757, -1323297.60573353, 1096465.48955564, 2.05, 2.01, 2.47
04-1-082445, 260007.08055069, -1325512.07628583, 1092690.63036339, 1.22, 1.06, 1.75
04-1-082446, 261471.79703211, -1329416.51271589, 1087585.85641554, 3.62, 3.31, 1.18
04-1-082447, 263024.99016172, -1333135.19359278, 1082648.22087083, 1.20, 1.03, 1.84
04-1-082457, 290450.19392912, -1305606.23195501, 1108868.70815565, 1.10, 0.91, 1.66
04-1-082458, 291771.37755014, -1307668.44528375, 1106088.36014655, 1.69, 1.52, 1.95
04-1-082461, 280254.96016909, -1306382.61580019, 1110576.59728435, 1.46, 1.32, 2.26
04-1-082478, 274135.06275274, -1312096.12974090, 1105356.26550380, 1.28, 1.26, 0.17
04-1-082479, 271548.74046773, -1312643.67879891, 1105344.56802377, 1.11, 1.03, 1.73
04-1-082480, 272274.96894444, -1316501.67302962, 1100567.32924274, 1.23, 1.11, 2.79
04-1-082482, 273991.94254387, -1329600.03856009, 1084274.37158776, 1.50, 1.31, 1.35
04-1-082485, 281478.53288523, -1323230.29716432, 1090133.10021814, 1.21, 1.05, 1.27
04-1-082489, 280672.39955416, -1324437.56984885, 1088874.13767680, 1.11, 1.06, 1.92
04-1-082490, 287048.69691540, -1326307.89644563, 1084928.18629859, 1.66, 1.54, 1.58
04-1-082492, 293507.28549034, -1326774.76621552, 1082626.87621259, 1.09, 0.93, 1.43
04-1-082500, 310751.70496453, -1320955.32416372, 1084928.18629859, 1.47, 1.38, 1.70
04-1-082505, 315691.03552344, -1310513.39730933, 1096107.91693287, 1.16, 0.95, 1.44
04-1-082506, 315465.75043316, -1316134.33449151, 1089417.52045588, 1.74, 1.55, 1.64
04-1-082509, 338724.69413932, -1314007.76751435, 1084992.13291718, 1.05, 0.97, 1.71
04-1-082513, 352900.18802009, -1291845.94509855, 1106866.87159198, 2.10, 1.82, 0.94
04-1-082516, 350382.98867044, -1295161.16925923, 1103788.05342939, 1.34, 1.25, 1.36
04-1-082517, 352196.34343765, -1293620.46815638, 1105017.00441035, 2.38, 2.09, 1.55
04-1-082524, 358665.10985814, -1304704.46526684, 1089800.14556946, 1.16, 1.03, 1.79
04-1-082526, 352376.91348154, -1306873.75027060, 1089252.16166822, 4.41, 4.24, 2.15
04-1-082529, 376093.16730742, -1284141.31814378, 1108193.92009730, 1.09, 1.07, 1.78
04-1-082530, 371711.56879156, -1284122.93791973, 1109692.54748103, 1.10, 1.02, 1.13
04-1-082533, 381307.49867133, -1286942.60836779, 1103150.97526337, 1.20, 1.04, 1.73
04-1-082535, 398433.25103449, -1297383.15232985, 1084715.01350389, 1.39, 1.23, 1.92
04-1-082538, 401954.98247426, -1285784.92263330, 1097154.54006854, 2.03, 1.92, 1.47
04-1-082540, 404558.32779051, -1282704.76614962, 1099799.89194053, 1.35, 1.21, 1.87
04-1-082554, 498283.34126090, -1253850.32773206, 1094592.08268107, 1.18, 1.00, 1.57
04-1-082559, 485496.04811604, -1265949.03800143, 1086381.78392634, 2.02, 1.86, 1.00
04-1-082563, 516154.83779073, -1246661.85091472, 1094521.43555945, 1.28, 1.04, 1.87
04-1-082565, 519337.50793431, -1238782.50622216, 1101937.02865931, 1.15, 1.03, 2.35
04-1-082571, 527260.75157150, -1253385.12262850, 1081471.49487436, 1.28, 1.09, 1.54
04-1-082574, 539918.46801780, -1234180.17149742, 1097199.21262089, 1.52, 1.41, 2.59
04-1-082575, 544692.71304129, -1235859.88178654, 1092940.51116713, 1.05, 0.95, 2.27
