selenographic crater coordinates: ID, X, Y, Z, a_dia_metres, b_dia_metres, angle(degree)
04-1-084422, 270314.99524441, -1297204.56309644, 1123720.99954917, 1.19, 1.08, 1.14
04-1-084424, 266589.01130945, -1292648.64201134, 1129844.47927814, 2.69, 2.44, 0.78
04-1-084425, 269658.83877291, -1295640.89533448, 1125680.92326756, 1.14, 0.90, 1.57
04-1-084426, 266861.37014402, -1297747.23185766, 1123919.87762947, 1.28, 1.14, 1.62
04-1-084428, 262435.21183459, -1294071.63113280, 1129187.82011082, 1.13, 1.03, 1.06
04-1-084431, 257887.67320461, -1301116.84704824, 1122117.48865096, 3.56, 3.49, 2.03
04-1-084432, 253758.79248818, -1294615.35571578, 1130546.91011910, 1.91, 1.87, 1.39
04-1-084437, 242628.31272132, -1301371.38869303, 1125221.20961044, 1.41, 1.29, 1.71
04-1-085065, 231200.62336906, -1277664.72688462, 1154416.68275740, 1.55, 1.37, 1.95
04-1-085067, 235004.28140242, -1275172.31009458, 1156402.75306252, 2.39, 2.05, 2.49
04-1-085075, 243147.20616040, -1283994.79313597, 1144899.80668009, 1.79, 1.54, 1.50
04-1-085076, 241830.55670194, -1281445.68174427, 1148030.35960910, 1.26, 1.19, 3.05
04-1-085077, 255479.74106936, -1281577.57011309, 1144922.61471514, 1.11, 1.04, 1.50
04-1-085078, 257744.84151367, -1280463.31411018, 1145661.40630252, 1.36, 1.23, 1.96
04-1-085079, 252080.39147777, -1282612.97177522, 1144516.57955067, 1.27, 1.17, 1.38
04-1-085080, 258935.62965623, -1275786.29450224, 1150600.03061654, 1.92, 1.59, 1.88
04-1-085081, 259658.44402381, -1277060.62462805, 1149022.37292045, 1.35, 1.22, 1.75
04-1-085083, 260314.14721297, -1282578.30612289, 1142710.89669423, 1.44, 1.29, 1.82
04-1-085086, 261610.31513418, -1288733.80147532, 1135466.42044156, 1.43, 1.43, 1.18
04-1-085088, 255796.27445181, -1291747.26065593, 1133364.91941672, 1.60, 1.41, 1.61
04-1-085095, 262973.45201608, -1273880.99996425, 1151794.65247275, 1.10, 1.02, 2.25
04-1-085097, 256857.05747183, -1268383.96668510, 1159217.54864352, 1.39, 1.24, 0.05
04-1-085098, 265155.20197378, -1265804.63046195, 1160168.14142060, 1.86, 1.71, 1.38
04-1-085106, 274617.77031810, -1263961.58972802, 1159976.26696313, 1.54, 1.54, 2.59
04-1-085107, 272894.05165391, -1261545.37345242, 1163009.40120565, 2.16, 2.13, 2.67
04-1-085108, 279216.19438490, -1265209.20950853, 1157515.75927415, 2.64, 2.46, 1.43
04-1-085109, 278595.79425209, -1271888.58419224, 1150322.81244288, 1.67, 1.39, 1.29
04-1-085110, 280802.73085306, -1272609.35720887, 1148988.25507047, 1.33, 1.19, 1.81
04-1-085112, 274463.34665868, -1271699.65930445, 1151524.47124057, 1.20, 1.16, 1.27
04-1-085115, 260379.39975664, -1273773.38849318, 1152502.79086386, 1.25, 1.11, 0.32
04-1-085117, 254851.47966071, -1268148.53709645, 1159917.57085359, 1.07, 0.92, 1.73
04-1-085118, 270663.04107079, -1282391.36541439, 1140514.21039324, 1.18, 1.10, 2.16
04-1-085119, 270830.24754158, -1283405.29456756, 1139333.39584712, 1.91, 1.84, 1.60
04-1-085120, 265406.87954692, -1286122.34699393, 1137544.39774981, 1.26, 1.18, 0.97
04-1-085121, 263353.54497890, -1290044.00776178, 1133574.05068437, 1.53, 1.47, 1.50
04-1-085122, 260778.04154325, -1291569.74900693, 1132431.52397796, 1.41, 1.19, 1.49
04-1-085126, 282772.06579054, -1265360.71149038, 1156486.48441092, 1.97, 1.78, 1.45
04-1-085127, 285108.21152368, -1267910.52922583, 1153115.32710308, 1.33, 1.20, 1.38
04-1-085129, 287815.14762315, -1262741.96840823, 1158103.58863928, 1.32, 1.23, 1.76
04-1-085131, 286904.52488461, -1264858.48406203, 1156017.97948693, 1.17, 1.10, 2.04
04-1-085133, 299244.13198178, -1260290.18013733, 1157877.52863759, 2.32, 2.17, 1.97
04-1-085136, 305633.21801438, -1259296.57357917, 1157289.60758227, 2.18, 1.61, 0.51
04-1-085141, 297103.04788553, -1269895.11655399, 1147891.51573197, 1.94, 1.73, 1.72
04-1-085149, 282909.41962549, -1282369.69990816, 1137562.73367434, 1.06, 0.94, 1.98
04-1-085152, 290858.44686834, -1275785.64364568, 1142948.43074958, 2.59, 2.48, 2.40
04-1-085153, 289556.89242245, -1277792.30059128, 1141035.67104640, 1.43, 1.25, 1.87
04-1-085154, 291490.99133844, -1277942.63671134, 1140374.66617065, 1.34, 1.16, 1.74
04-1-085155, 290177.54326231, -1280842.33025724, 1137452.71480069, 1.23, 1.08, 1.70
04-1-085157, 290378.77235298, -1274502.75917743, 1144500.60961796, 1.25, 1.10, 2.00
04-1-085159, 283635.78637130, -1281727.19774534, 1138105.83481916, 1.11, 0.93, 1.20
04-1-085163, 302603.05146619, -1267544.78813498, 1149051.94108674, 1.66, 1.44, 1.70
04-1-085165, 307105.32931900, -1274871.95760984, 1139713.37116133, 1.87, 1.70, 1.39
04-1-085167, 302863.41429829, -1264043.58104262, 1152834.04595134, 1.05, 0.99, 1.74
04-1-085168, 307754.58125684, -1267265.16990447, 1147991.66672168, 2.13, 1.84, 1.65
04-1-085172, 315182.17508539, -1275692.41449931, 1136586.03726130, 3.66, 3.49, 1.62
04-1-085176, 302069.22355670, -1275158.38913652, 1140738.36912528, 1.17, 1.02, 1.43
04-1-085178, 313389.30199530, -1260402.72088488, 1154006.44997369, 2.65, 2.43, 2.07
04-1-085181, 314806.38275502, -1268844.24340663, 1144329.49247608, 1.14, 1.01, 2.17
04-1-085184, 336550.47946756, -1270380.31294084, 1136409.43117456, 1.13, 0.90, 1.82
04-1-085188, 334986.58596522, -1254916.69011384, 1153918.04219238, 1.24, 1.21, 2.08
04-1-085205, 313855.06243252, -1257308.04356979, 1157251.15828855, 1.35, 1.30, 0.06
04-1-085206, 313384.56196511, -1258226.48574896, 1156380.12214053, 1.37, 1.17, 1.56
04-1-085209, 327483.78341738, -1251051.24916950, 1160251.65526711, 5.12, 4.86, 0.89
04-1-085216, 331387.97809646, -1243613.06763019, 1167119.23383713, 5.45, 5.12, 0.41
04-1-085219, 352275.34372414, -1254772.52532179, 1148915.46769186, 1.40, 1.29, 1.26
04-1-085220, 350643.04377820, -1256116.18309947, 1147946.14438378, 1.16, 1.10, 1.62
04-1-085223, 378144.12033584, -1243136.61600245, 1153333.05606378, 1.10, 1.01, 1.88
04-1-085225, 391221.89849171, -1246408.22668674, 1145412.90310008, 5.38, 4.66, 1.01
04-1-085229, 407095.33472840, -1236296.42836402, 1150827.21972360, 1.34, 1.26, 1.57
04-1-085230, 437899.78725588, -1235836.76928683, 1139960.53265012, 1.42, 1.27, 1.79
04-1-085231, 444965.91137580, -1237905.92156325, 1134968.29342152, 1.48, 1.42, 1.24
04-1-085232, 439443.26014884, -1222877.00792185, 1153265.01924139, 1.13, 1.08, 2.87
04-1-085234, 460349.74390738, -1224675.74455466, 1143156.24215760, 1.15, 0.98, 1.50
04-1-085236, 488550.61707702, -1218194.40927286, 1138367.00398861, 1.22, 1.13, 1.54
04-1-085238, 500838.53853479, -1199880.46065592, 1152391.59943765, 1.20, 1.13, 1.95
04-1-085239, 501657.99854498, -1205096.65333867, 1146577.54583272, 1.25, 1.06, 2.23
04-1-085241, 516473.76252007, -1205197.84687497, 1139873.57304058, 1.61, 1.58, 1.57
04-1-085243, 524023.62190264, -1189920.06589903, 1152409.75371562, 1.18, 1.14, 1.72
04-1-085246, 537818.26961558, -1192133.86189183, 1143733.85199468, 1.76, 1.66, 0.35
04-1-085248, 545083.62981184, -1184661.07256900, 1148050.84366975, 2.16, 2.11, 2.06
04-1-085250, 558603.96043358, -1192545.94548444, 1133293.67036817, 1.27, 1.12, 2.15
04-1-085255, 568237.64824718, -1187279.48521632, 1134033.57935247, 5.68, 5.32, 0.89
04-1-085258, 585223.08069741, -1161263.01504961, 1152189.61794356, 1.14, 1.02, 1.76
04-1-085263, 593324.75042210, -1167637.54955946, 1141554.66509288, 1.14, 1.01, 1.87
04-1-085264, 591324.27235461, -1173522.54875715, 1136547.04807272, 1.11, 1.01, 1.77
04-1-085274, 622475.87248553, -1140375.16754547, 1153528.07742986, 1.09, 0.94, 1.95
04-1-085276, 606031.51240103, -1142471.91429978, 1160190.71320758, 1.02, 0.99, 0.14
04-1-085277, 608435.97738280, -1144446.20165656, 1156981.98470854, 1.92, 1.82, 1.70
04-1-085278, 612977.26033874, -1151969.34528562, 1147076.39929947, 1.07, 0.96, 1.54
04-1-085283, 624009.87166667, -1158621.41525401, 1134357.46401976, 1.07, 1.02, 1.56
04-1-085292, 623762.98469956, -1148446.07717873, 1144792.60424388, 1.13, 1.05, 2.41
04-1-085293, 633559.77080835, -1127652.48415934, 1159983.03943745, 1.12, 0.99, 1.28
04-1-085300, 636097.66864195, -1137090.68386729, 1149331.67215147, 1.36, 1.23, 1.40
04-1-085305, 654371.09904356, -1134318.21774348, 1141787.81112420, 1.25, 1.20, 2.57
04-1-085306, 659763.87970995, -1128417.50742125, 1144527.98654087, 1.18, 1.04, 1.59
04-1-085310, 680043.99649025, -1126521.49514630, 1134481.48676429, 1.38, 1.14, 1.73
04-1-085311, 688939.14133110, -1121301.16255108, 1134286.26122490, 1.33, 1.21, 1.23
04-1-085319, 671352.96746582, -1122326.87851503, 1143777.22080724, 1.04, 1.02, 0.26
04-1-085330, 678900.38210705, -1117209.83785805, 1144331.77416695, 1.16, 1.00, 2.18
04-1-085331, 673817.14159669, -1113832.41415016, 1150611.39090437, 2.25, 1.98, 2.26
04-1-085335, 674730.16423158, -1112358.59839879, 1151501.76467269, 1.90, 1.49, 1.63
04-1-085343, 680456.82817459, -1112582.81807624, 1147909.72550637, 1.46, 1.41, 1.12
04-1-085347, 686888.97528292, -1103404.50369084, 1152927.05617899, 4.43, 3.93, 1.93
04-1-085348, 688149.73145790, -1099560.87889462, 1155843.66620183, 1.88, 1.77, 1.82
04-1-085349, 689542.66928371, -1100163.38232723, 1154439.34419415, 2.62, 2.27, 2.61
04-1-085355, 675064.89780202, -1100958.71167929, 1162211.71003093, 1.65, 1.50, 1.55
04-1-085356, 676931.78957667, -1101413.46237055, 1160693.97222931, 1.31, 1.17, 1.56
04-1-085358, 678938.23931079, -1100325.35054684, 1160554.07032397, 1.76, 1.61, 1.51
04-1-085359, 682066.71491348, -1106562.04916604, 1152763.71722595, 1.30, 1.25, 3.01
04-1-085365, 665277.26834685, -1109750.39825294, 1159490.82350763, 2.24, 2.11, 1.44
04-1-085367, 670231.49778576, -1111230.84532909, 1155211.88868755, 1.67, 1.62, 1.67
04-1-085379, 700300.48424974, -1102008.44016983, 1146174.24048616, 1.36, 1.31, 2.54
04-1-085380, 702965.71322075, -1103095.22394261, 1143494.15956141, 1.16, 1.03, 1.65
04-1-085383, 707705.49962072, -1103932.06064831, 1139756.85621073, 1.12, 1.02, 2.08
04-1-085391, 717190.83771417, -1094522.63478125, 1142898.18630110, 1.05, 0.95, 1.52
04-1-085393, 719060.85089719, -1104722.19960835, 1131856.49019630, 1.29, 1.05, 1.61
04-1-085402, 763020.07141361, -1070663.04429504, 1135799.17952111, 1.12, 0.99, 2.62
04-1-085403, 763641.82384824, -1071575.05310101, 1134520.52887610, 1.14, 1.12, 2.94
04-1-085404, 790220.77281045, -1018636.34590236, 1164684.45727826, 1.59, 1.49, 1.12
04-1-085405, 793611.97411559, -1019769.89624833, 1161382.00143020, 1.09, 0.98, 1.76
04-1-085406, 784848.01199251, -1030372.19608372, 1157974.73876117, 1.67, 1.56, 2.06
04-1-085411, 784358.37074641, -1032493.08695195, 1156416.33144663, 1.11, 1.06, 1.78
04-1-085414, 786306.56102068, -1031502.49120004, 1155977.23279654, 2.07, 1.93, 2.39
04-1-085417, 808635.22865944, -1019402.83855852, 1151297.38977804, 1.41, 1.40, 1.04
04-1-085419, 829456.67751589, -1018102.28621537, 1137553.56573980, 6.03, 5.68, 1.05
04-1-086451, 828166.97619178, -994667.39947278, 1159023.28879597, 1.15, 1.01, 1.96
04-1-086454, 816460.89437213, -977654.62538457, 1181584.44532128, 1.24, 1.19, 1.99
04-1-086456, 806543.63708204, -984246.63162725, 1182922.09786312, 1.07, 0.99, 1.63
04-1-086457, 821451.60795535, -981470.02398324, 1174943.66154718, 1.36, 1.25, 1.20
04-1-086458, 807101.14730742, -996011.39290476, 1172649.90650192, 1.14, 0.99, 1.63
04-1-086459, 808357.48920749, -998844.18726998, 1169370.43711526, 1.10, 0.92, 1.21
04-1-086461, 807731.69140405, -1007060.78398106, 1162736.79397747, 1.26, 1.17, 1.73
04-1-086467, 756033.95055716, -1041546.85419408, 1167112.49505922, 1.15, 1.00, 1.84
04-1-086468, 748763.12875166, -1035897.48074175, 1176787.55364548, 1.54, 1.48, 1.38
04-1-086470, 750857.34178012, -1039788.28886602, 1172012.08467830, 1.77, 1.64, 2.01
04-1-086471, 731956.70173598, -1045226.01989192, 1179110.13655412, 1.24, 1.12, 1.91
04-1-086472, 728898.11180840, -1064409.28372202, 1163743.60549416, 1.63, 1.47, 1.51
04-1-086474, 715833.19452966, -1072819.19224913, 1164130.82527325, 1.31, 1.29, 0.43
04-1-086475, 718399.93317936, -1066717.45602799, 1168149.88978857, 3.02, 2.90, 2.23
04-1-086478, 689070.66562827, -1071485.83642356, 1181379.90507470, 1.24, 1.10, 2.07
04-1-086479, 689186.49622956, -1072859.16401407, 1180065.23023342, 1.19, 0.94, 1.90
04-1-086480, 691800.17519115, -1074946.44431352, 1176631.38640069, 1.37, 1.25, 1.46
04-1-086483, 675023.00126521, -1099770.15379535, 1163360.78521835, 1.10, 0.92, 1.97
04-1-086485, 642684.54837157, -1114509.54833986, 1167640.26906565, 1.24, 1.12, 2.05
04-1-086486, 628356.45243561, -1110932.93297461, 1178793.85267950, 1.63, 1.61, 1.23
04-1-086489, 625969.00256405, -1129975.53812506, 1161842.00779106, 1.50, 1.43, 1.51
04-1-086490, 616992.04015459, -1123093.56042800, 1173260.60059607, 1.05, 0.99, 2.58
04-1-086493, 611337.68930936, -1124679.74612206, 1174700.15676031, 1.12, 1.06, 0.12
04-1-086496, 608548.17819114, -1133417.10203793, 1167730.08337894, 1.05, 1.00, 2.08
04-1-086500, 603520.73738476, -1122173.06501954, 1181121.96308900, 1.50, 1.28, 1.61
04-1-086502, 604014.72548291, -1124502.61672517, 1178651.27852900, 1.84, 1.62, 1.92
04-1-086504, 602290.56748616, -1125860.90779251, 1178236.83893427, 1.23, 1.04, 1.11
04-1-086505, 604308.64274786, -1128827.90688054, 1174358.28474446, 1.22, 0.93, 1.60
04-1-086506, 606176.22427141, -1126592.07580819, 1175542.18973810, 1.23, 1.07, 1.57
04-1-086508, 596470.70814882, -1131259.50543845, 1176024.39841850, 1.08, 0.96, 1.38
04-1-086511, 592351.19215261, -1129172.40956708, 1180105.28963642, 1.35, 1.22, 1.79
04-1-086512, 590620.29067724, -1129560.34234229, 1180601.48451876, 1.29, 1.04, 1.35
04-1-086513, 592984.23683937, -1122035.10840806, 1186577.29219791, 1.20, 1.07, 1.14
04-1-086516, 588232.45962178, -1124372.25239263, 1186730.11738003, 1.11, 0.96, 1.69
04-1-086520, 586344.76469168, -1130787.25588253, 1181557.76788624, 1.03, 1.01, 0.94
04-1-086534, 585208.88068029, -1156008.87934354, 1157468.27034343, 1.43, 1.32, 1.69
04-1-086538, 571033.70789915, -1156618.38017745, 1163921.46946375, 1.52, 1.46, 1.44
04-1-086539, 575751.78773794, -1154022.73981272, 1164173.59311733, 1.10, 1.00, 1.61
04-1-086546, 579289.01272369, -1137802.22844298, 1178299.23563066, 1.21, 1.03, 1.60
04-1-086550, 574952.82516957, -1138805.72183967, 1179453.06677916, 1.14, 1.08, 2.54
04-1-086551, 576918.23999683, -1142203.06091037, 1175200.52416851, 1.07, 0.97, 1.36
04-1-086552, 579345.48478864, -1140718.46240732, 1175448.40753565, 3.11, 2.86, 0.99
04-1-086554, 576315.38856883, -1144382.47440278, 1173374.65678210, 1.26, 1.12, 3.11
04-1-086557, 576416.09871942, -1147422.55579803, 1170352.39119805, 1.18, 1.04, 1.44
04-1-086558, 574777.56278186, -1147554.13037484, 1171029.04796686, 1.09, 0.93, 1.96
04-1-086561, 571410.08518267, -1147374.91166149, 1172851.26364827, 1.29, 1.19, 1.45
04-1-086562, 571807.01454627, -1151645.40578577, 1168464.10190823, 1.27, 1.15, 1.58
04-1-086563, 573138.07592615, -1152053.73152287, 1167408.97101569, 1.32, 1.17, 1.30
04-1-086565, 572295.99175759, -1145594.08577909, 1174159.37949077, 1.23, 1.10, 2.56
04-1-086566, 571130.10792622, -1144959.24694679, 1175345.68644771, 1.50, 1.48, 0.38
04-1-086572, 566493.31877514, -1142996.06434463, 1179493.14397152, 1.41, 1.03, 1.80
04-1-086576, 564486.00713481, -1142451.82356634, 1180981.85361966, 1.10, 1.05, 1.31
04-1-086582, 546382.76415798, -1158392.41936967, 1173947.03363396, 3.31, 3.09, 0.66
04-1-086583, 534846.51374373, -1158310.21374995, 1179328.37473654, 1.49, 1.37, 1.62
04-1-086584, 532041.18592720, -1163473.35172704, 1175508.69681947, 1.17, 1.13, 1.98
04-1-086585, 542033.67894074, -1176463.94282072, 1157882.05018330, 1.06, 1.02, 2.12
04-1-086586, 539490.22579034, -1175204.31193476, 1160346.44890508, 1.31, 1.19, 1.99
04-1-086587, 537437.41731169, -1173973.39652089, 1162543.00855261, 1.50, 1.39, 1.84
04-1-086589, 530829.50597216, -1181094.08458506, 1158358.99398569, 1.21, 1.06, 1.37
04-1-086593, 525085.36879450, -1163693.23677639, 1178415.10774380, 1.06, 0.97, 1.77
04-1-086601, 488375.01562650, -1179623.86980054, 1178361.62951303, 1.13, 1.06, 1.07
04-1-086602, 486073.60737669, -1172674.95978889, 1186222.84874974, 1.06, 1.03, 3.09
04-1-086606, 484495.48888409, -1178041.12710088, 1181542.20580979, 6.35, 6.29, 2.55
04-1-086607, 476042.30135850, -1178068.44417751, 1184946.08660077, 1.89, 1.81, 1.58
04-1-086616, 454118.17004122, -1201344.96364443, 1170087.91377596, 1.24, 1.09, 2.20
04-1-086617, 448703.20245211, -1195338.90902180, 1178299.23563066, 1.80, 1.70, 0.70
04-1-086618, 439244.56011735, -1203023.95968258, 1174034.21110161, 1.06, 0.98, 0.82
04-1-086626, 408027.52384470, -1217135.59039794, 1170749.01425191, 1.17, 1.04, 1.07
04-1-086627, 403471.72998100, -1217205.94201512, 1172253.81971194, 1.18, 1.04, 1.47
04-1-086630, 399810.26595270, -1216745.51548450, 1173985.03473732, 1.39, 1.37, 1.52
04-1-086631, 395170.20885574, -1217003.80789484, 1175287.62335114, 1.18, 1.12, 2.03
04-1-086632, 391781.64338751, -1213486.18634932, 1180049.65126217, 1.17, 1.11, 2.41
04-1-086633, 383432.07731986, -1220993.66419727, 1175037.47773095, 1.34, 1.21, 1.33
04-1-086641, 346440.33061830, -1233409.67521514, 1173558.02174702, 1.40, 1.14, 1.61
04-1-086642, 349484.49115907, -1237690.04603143, 1168136.42199617, 1.13, 1.02, 1.24
04-1-086643, 349030.13310769, -1238891.66409591, 1166997.93093925, 1.25, 1.12, 1.60
04-1-086644, 340608.59025521, -1240884.85596519, 1167368.54612441, 1.05, 0.96, 0.69
04-1-086645, 343526.85583944, -1246741.41495621, 1160251.65526711, 1.11, 0.99, 1.60
04-1-086647, 331568.04513013, -1240459.30881571, 1170419.62330655, 2.59, 2.35, 0.58
04-1-086648, 332915.52964242, -1236929.36088964, 1173768.19103776, 1.11, 1.02, 1.48
04-1-086651, 326589.90575844, -1241179.19992113, 1171055.92827151, 1.40, 1.33, 1.94
04-1-086654, 322966.60664018, -1242732.86507878, 1170412.90024009, 1.56, 1.39, 1.00
04-1-086657, 323387.15060161, -1238223.80716727, 1175066.51479394, 1.69, 1.45, 1.26
04-1-086658, 336146.51419590, -1221704.68226960, 1188697.58572753, 1.96, 1.80, 0.95
04-1-086659, 340701.60400376, -1224297.44914951, 1184726.52246638, 1.25, 1.22, 2.70
04-1-086661, 340502.24147213, -1225236.78641991, 1183812.40099767, 1.13, 1.00, 1.42
04-1-086662, 335113.00007385, -1225302.90272372, 1185280.90921871, 1.22, 1.18, 1.11
04-1-086664, 339708.58595020, -1229531.58634428, 1179579.97389471, 1.31, 1.19, 1.29
04-1-086667, 340758.34206902, -1230987.19843394, 1177757.62769855, 1.50, 1.31, 1.47
04-1-086668, 339989.83443110, -1232644.53011217, 1176245.35487630, 1.06, 0.98, 1.33
04-1-086670, 335621.78340801, -1231724.12898741, 1178461.89949961, 1.67, 1.60, 1.61
04-1-086671, 333634.63547745, -1230015.56706632, 1180808.36497052, 2.17, 1.95, 1.33
04-1-086672, 332655.57336293, -1232021.37500671, 1178992.09540911, 1.28, 1.15, 1.52
04-1-086673, 331267.57574590, -1232863.97318961, 1178502.00545886, 1.43, 1.25, 1.60
04-1-086678, 321313.87352807, -1233896.09583597, 1180176.50347698, 1.29, 1.08, 1.39
04-1-086679, 317453.84156135, -1233273.00176390, 1181871.19501162, 1.45, 1.34, 1.51
04-1-086681, 324897.12073892, -1236324.06705076, 1176649.23497474, 1.23, 1.12, 1.44
04-1-086683, 307188.38889066, -1251590.04888681, 1165210.88359930, 1.28, 1.18, 0.54
04-1-086685, 308137.74276017, -1238266.50014355, 1179112.36364856, 1.59, 1.43, 1.57
04-1-086687, 300892.32115741, -1240423.89337444, 1178715.88426317, 3.93, 3.52, 2.61
04-1-086688, 296778.24287991, -1241994.04852408, 1178105.35096988, 2.35, 2.19, 1.74
04-1-086689, 299395.53022660, -1242771.36205030, 1176622.46202764, 1.70, 1.40, 1.80
04-1-086690, 297984.17000404, -1245213.87098449, 1174396.27465980, 1.40, 1.06, 1.79
04-1-086691, 303688.26298368, -1252427.18815430, 1165228.87764501, 1.25, 1.11, 1.50
04-1-086695, 306462.16560192, -1256491.16416208, 1160116.22496938, 1.11, 0.96, 1.48
04-1-086696, 307191.81615890, -1257290.10865465, 1159057.17320768, 2.51, 2.06, 1.31
04-1-086697, 311207.92844673, -1257062.46073486, 1158232.42705560, 1.92, 1.77, 1.52
04-1-086701, 291646.15025563, -1253869.45486997, 1166753.04721486, 1.73, 1.61, 1.78
04-1-086702, 292007.41310809, -1257112.86882297, 1163167.08418421, 1.36, 1.20, 1.73
04-1-086704, 295039.72054206, -1258007.02846830, 1161433.87225740, 1.55, 1.37, 2.08
04-1-086705, 289351.38096669, -1258528.56460253, 1162299.61301386, 1.25, 1.02, 1.37
04-1-086709, 280493.20996835, -1257948.02858700, 1165096.16621794, 1.44, 1.25, 1.64
04-1-086712, 278356.32973300, -1254133.97439229, 1169711.28402378, 1.23, 0.94, 1.41
04-1-086714, 275479.86354693, -1254520.19176908, 1169978.07382183, 1.26, 1.09, 1.54
04-1-086715, 274240.33223501, -1254413.34459522, 1170383.76658132, 1.41, 1.19, 1.72
04-1-086718, 280825.99969597, -1250396.31611996, 1173117.45811252, 1.55, 1.33, 1.70
04-1-086720, 276411.13111973, -1247634.41119816, 1177099.83543764, 1.28, 1.12, 2.02
04-1-086723, 278550.42856665, -1246878.52111776, 1177396.43804478, 1.35, 1.16, 1.93
04-1-086724, 274909.03025196, -1246829.65696685, 1178303.69242987, 1.34, 1.16, 1.90
04-1-086725, 273165.48606551, -1246576.82454625, 1178976.50431498, 1.18, 1.00, 1.78
04-1-086728, 257280.86171384, -1253707.89036951, 1174981.63552500, 3.00, 2.73, 1.68
04-1-086730, 249563.80589262, -1263282.03139051, 1166359.79695558, 2.18, 2.12, 2.39
04-1-086732, 255791.99077616, -1258381.95752771, 1170300.84440860, 1.19, 0.92, 1.53
04-1-086737, 271366.73364827, -1254590.78895826, 1170863.27473799, 1.21, 1.01, 1.60
04-1-086738, 252141.79002909, -1255686.13292401, 1173982.79940691, 2.10, 1.84, 1.90
04-1-086740, 247898.12629007, -1253929.55851418, 1176760.78336521, 1.24, 1.09, 1.64
04-1-086745, 227051.13013490, -1259122.94062813, 1175421.61146052, 2.22, 2.14, 2.41
04-1-086746, 229503.25712955, -1265637.09331459, 1167925.40985849, 1.77, 1.63, 1.63
04-1-086752, 237762.89391250, -1268637.82810366, 1163007.14846590, 1.05, 1.03, 0.45
04-1-086753, 233799.33583880, -1254137.40258767, 1179421.89482474, 1.34, 1.20, 1.83
04-1-086757, 224232.35560926, -1260617.30156250, 1174360.51947398, 1.23, 1.07, 1.67
04-1-086760, 223533.60206791, -1267592.68253994, 1166961.98734909, 2.52, 2.43, 2.06
04-1-086763, 228739.26007659, -1272298.61406926, 1160815.81120222, 1.19, 1.05, 1.81
04-1-087185, 218594.55885793, -1224830.13887277, 1212669.08501315, 1.41, 1.13, 1.71
04-1-087187, 218125.58281855, -1230145.30466951, 1207361.80141647, 3.16, 2.92, 1.48
04-1-087188, 219612.22576026, -1231899.69924930, 1205301.77187545, 2.85, 2.38, 1.63
04-1-087214, 226851.84374329, -1238453.10452237, 1197217.98720583, 1.21, 1.00, 1.65
04-1-087224, 225483.63541219, -1245947.30514352, 1189676.93218238, 1.20, 1.10, 1.24
04-1-087226, 232762.50746246, -1251363.70174266, 1182568.92445247, 1.21, 1.07, 2.03
04-1-087227, 236003.25773181, -1248534.16935240, 1184915.03927476, 1.67, 1.45, 2.11
04-1-087237, 245743.93989541, -1228043.43701052, 1204191.84219960, 1.16, 1.08, 1.94
04-1-087243, 264560.50671827, -1227790.02279437, 1200457.47871866, 1.42, 1.35, 1.78
04-1-087245, 263439.58831908, -1231247.13201595, 1197158.65415106, 1.36, 1.23, 1.81
04-1-087246, 262818.19596131, -1237737.02871370, 1190584.89979616, 1.89, 1.65, 1.73
04-1-087248, 262824.96424627, -1243965.39715295, 1184074.27505839, 1.30, 1.10, 1.66
04-1-087253, 249214.02988393, -1248328.23560190, 1182424.51915886, 1.67, 1.43, 1.50
04-1-087255, 251801.04268837, -1235544.31691145, 1195234.38531899, 1.73, 1.60, 1.76
04-1-087256, 250644.96521095, -1234053.89890492, 1197015.80441194, 1.07, 0.97, 1.45
04-1-087258, 243881.99216332, -1235995.82079508, 1196409.07087649, 1.41, 1.13, 1.75
04-1-087268, 245970.23472316, -1242126.67908267, 1189612.84321467, 1.18, 1.06, 1.22
04-1-087271, 270267.03869237, -1238517.98630007, 1188102.55677180, 1.88, 1.72, 1.32
04-1-087272, 280604.60383307, -1241805.48817210, 1182260.10076182, 1.38, 1.20, 1.83
04-1-087279, 277483.99172057, -1234205.98267608, 1190922.74588463, 1.06, 0.95, 1.87
04-1-087282, 287402.07186848, -1233184.20579112, 1189628.31324453, 1.28, 1.24, 3.05
04-1-087288, 290788.46392992, -1238518.86813896, 1183246.31523156, 1.74, 1.51, 1.76
04-1-087289, 273863.81263917, -1215229.57538738, 1211104.64090868, 1.23, 0.98, 1.95
04-1-087293, 284314.65288762, -1218974.22051162, 1204917.33653454, 3.66, 3.35, 1.57
04-1-087299, 292854.77346601, -1222459.41324759, 1199328.07213895, 1.44, 1.35, 1.53
04-1-087300, 292965.85262195, -1227366.14177900, 1194278.91349217, 1.17, 1.01, 1.19
04-1-087304, 276705.27847977, -1225245.42766973, 1200319.37034935, 1.12, 1.07, 0.56
04-1-087307, 267653.60001315, -1217966.52340828, 1209742.88931853, 1.47, 1.34, 1.42
04-1-087310, 275413.75625362, -1220319.52612261, 1205622.77559366, 5.91, 5.85, 1.76
04-1-087317, 287068.74148877, -1230296.77091011, 1192694.49279697, 1.77, 1.48, 1.86
04-1-087318, 290438.60626594, -1229792.18111964, 1192398.99666483, 1.17, 0.94, 1.83
04-1-087319, 296117.74937356, -1230958.11996450, 1189796.26213877, 4.63, 3.75, 0.03
