Parameters,Group ID,Image
"[10.553376321907963, 61.21653559685447, 0.44867167442754363, 0.25664544837532693, 342.7341905049847]",706,96
NULL,706,97
NULL,706,98
"[8.002121867530107, 64.12905161149835, 0.6365324212808027, 0.33592928588942167, 347.3004155104031]",706,99
NULL,706,100
NULL,706,110
