Parameters,Group ID,Image
"[66.18445271217246, 29.14091553873787, 0.9471206298689829, 0.44462380828672365, 4.127591702507232]",969,220
"[69.47794270930504, 29.12600459717229, 1.0868720008247843, 0.57874647469632, 5.782392322357509]",969,230
"[73.29324717471101, 30.266255744855837, 1.3777267370754103, 0.7516046597640009, 4.548042409130915]",969,240
"[77.20053115904318, 31.608154516116176, 1.6949807783802822, 0.7617019752655202, 7.679004588043938]",969,250
"[81.63164532289142, 20.734763802606203, 1.7707650342341261, 0.9933189245119248, 6.645278210283777]",969,260
