Parameters,Group ID,Image
"[45.73667714248298, 72.80581988754633, 0.3348721153025238, 0.27348328535327937, 0]",166,0
NULL,166,1
NULL,166,2
NULL,166,3
NULL,166,4
NULL,166,5
NULL,166,6
NULL,166,7
NULL,166,8
NULL,166,9
"[44.303274863381745, 92.02087831822382, 0.49654267152849485, 0.5632321187136142, 0]",166,10
NULL,166,11
NULL,166,12
NULL,166,13
NULL,166,14
