Parameters,Group ID,Image
"[  69.17989984266927,  45.01195898467386,  0.9607549262727132,  0.297691265623051,  2.9356734464186047 ]",	1,	0
"[  69.51174432764336,  45.212165352602355,  0.9722563864838946,  0.28942507381887483,  2.862405226104272 ]",	1,	1
"[  69.8069024455505,  45.40789609098996,  0.9731617149332807,  0.33191844245346686,  2.1672376430675513 ]",	1,	2
"[  70.03890665294225,  45.61800611270347,  0.9370822819983885,  0.2791323550513218,  1.6135389328802034 ]",	1,	3
"[  70.23761267970936,  45.89144354689823,  1.0100308565937703,  0.3482241526960064,  1.0416266760087751 ]",	1,	4
"[  70.7834523139256,  46.30493063335406,  0.9403463850111186,  0.34382521435491586,  1.6135389328779297 ]",	1,	5
"[  71.0076563890361,  46.55182402657089,  1.0626046132250866,  0.36417455289340267,  1.2319774026390178 ]",	1,	6
"[  71.25567795685998,  46.787678052645866,  1.1219145201917224,  0.32934577365595874,  2.694284289857535 ]",	1,	7
"[  71.62626736783483,  47.0489729799783,  1.0728700678548182,  0.40491205818064047,  1.9251837083229475 ]",	1,	8
"[  71.88347404715108,  47.33160285933262,  1.0605761782416128,  0.34233280136337,  3.5214533769190552 ]",	1,	9
"[  72.4684423168836,  47.870587473621065,  1.1282197322510457,  0.39109019677781115,  3.5035316447868468 ]",	1,	10
"[  72.81729257577308,  48.11217875403437,  1.2236943701298866,  0.3810612257176448,  2.676745110075217 ]",	1,	11
"[  73.04136798056177,  48.44788644757276,  1.198782720051397,  0.4676029361161363,  2.6837751594683823 ]",	1,	12
"[  73.40580427017649,  48.77312705505507,  1.0886858988974613,  0.4062772482150036,  3.4260939891930207 ]",	1,	13
"[  73.79264808239114,  49.069189342740245,  1.2088538150198556,  0.46279295952464505,  2.489552922000314 ]",	1,	14
"[  74.44756618764256,  49.76612265817285,  1.216997667929504,  0.46108408311833,  3.5823674163262353 ]",	1,	15
"[  74.81747251678937,  50.098550113253424,  1.2567214380856273,  0.4789477343811839,  2.3228643999621 ]",	1,	16
"[  75.13426852829514,  50.45147522058061,  1.210971954873827,  0.48326544017663015,  4.635463426900742 ]",	1,	17
"[  75.51256712757137,  50.83505453778648,  1.3330668433185753,  0.5523413362409784,  2.411029746613508 ]",	1,	18
"[  75.89052154239253,  51.20867669124568,  1.279902482928163,  0.4808629753103443,  3.8019208329076264 ]",	1,	19
"[  76.72763859182452,  52.059753618000514,  1.3198994355196567,  0.4790483980450444,  4.619923481653927 ]",	1,	20
"[  77.21594443160569,  52.45257481109289,  1.3330308436372384,  0.5461644787526005,  4.512878347212222 ]",	1,	21
"[  77.67770531907493,  52.899338338977856,  1.4127758629353524,  0.6938744122188413,  5.906141113772776 ]",	1,	22
"[  78.0638298113105,  53.36438685961604,  1.3293065071761965,  0.56955860475066,  4.805172900319121 ]",	1,	23
"[  78.52644999642263,  53.79082733614692,  1.4769275722478004,  0.6632762269655712,  4.257908024759729 ]",	1,	24
"[  79.5077029876557,  54.8277796157107,  1.4468330832736904,  0.6494476271148379,  5.3145456699473925 ]",	1,	25
"[  79.9829904645129,  55.373560546525994,  1.532093355458721,  0.6933375790125402,  4.216587049291206 ]",	1,	26
"[  80.42718793470394,  55.92641821436962,  1.5356748971974343,  0.6702000397120847,  4.805172900319917 ]",	1,	27
"[  81.0227019673141,  56.51887084375539,  1.5755308097239518,  0.691791182526517,  5.332379203783546 ]",	1,	28
"[  81.58325213996115,  57.062855620719276,  1.4901723166230743,  0.6882881871154397,  6.340191745910374 ]",	1,	29
"[  82.71309143845836,  58.34489385606971,  1.7074620704039465,  0.8811420723928386,  8.392925187390176 ]",	1,	30
"[  83.31315843100197,  58.991731816431994,  1.6108587440947126,  0.8076930866855033,  6.196190273742388 ]",	1,	31
"[  83.87162898466362,  59.682461674497425,  1.820131417753999,  0.828814521033869,  5.5723835445593295 ]",	1,	32
"[  84.58491082659006,  60.33690208920797,  1.81701345002134,  0.8594361685785834,  7.152785035688851 ]",	1,	33
"[  85.1627080072835,  61.150418468631884,  1.9137244629999348,  0.8434415449253028,  7.221050879034692 ]",	1,	34
"[  86.56399617651599,  62.743702631058554,  1.8446449759566144,  0.9547463914751784,  9.28355280525517 ]",	1,	35
"[  87.3266981510819,  63.511007213063365,  1.8943816268200402,  0.960716344417266,  9.393006306274629 ]",	1,	36
"[  88.14542290934268,  64.399767178161,  1.969151246468533,  1.0248423422486956,  9.056597661682986 ]",	1,	37
"[  88.9221011215558,  65.2815797212267,  2.0519797362560275,  1.0497767212907798,  10.16782342762184 ]",	1,	38
"[  89.77994488981658,  66.25863332064897,  2.1528548811912334,  1.055218236645958,  11.394799450931316 ]",	1,	39
"[  91.59437743992427,  68.24739889814973,  2.0227131077890945,  1.1368215592104074,  11.689369175432944 ]",	1,	40
"[  92.45514223918582,  69.3859042871127,  2.137709698897295,  1.3049968732367185,  13.671307132199559 ]",	1,	41
"[  93.52790662322701,  70.47287640910007,  2.31855605504641,  1.294583345326709,  11.365607533899777 ]",	1,	42
"[  94.44050626998894,  71.80152574619635,  2.2608607835377774,  1.4124459375787088,  13.690049617467594 ]",	1,	43
"[  95.53948006143384,  72.93531161985854,  2.405388215560277,  1.3421106059983716,  12.334409497183913 ]",	1,	44
