Parameters,Group ID,Image
"[32.19110007849568, 59.22281671499985, 0.21766687494663728, 0.13674164267662547, 0]",158,0
NULL,158,1
NULL,158,2
NULL,158,3
NULL,158,4
NULL,158,5
NULL,158,6
NULL,158,7
NULL,158,8
NULL,158,9
"[27.71848117702534, 68.52945086687531, 0.32172336230153326, 0.20144315411580752, 0]",158,10
NULL,158,11
NULL,158,12
NULL,158,13
NULL,158,14
NULL,158,15
NULL,158,16
"[23.393461955875132, 78.00179415494696, 0.39027516968855275, 0.2901241489267291, 353.5379009503893]",158,17
NULL,158,18
NULL,158,19
"[20.559056678122325, 84.24411091406458, 0.4628333588997783, 0.2967708198811729, 341.0609957397641]",158,20
"[19.75808182092873, 86.0911249755096, 0.4523684348764397, 0.3536531847332512, 339.1791071466874]",158,21
NULL,158,22
NULL,158,23
NULL,158,24
"[14.951595387111707, 96.78065539681738, 0.5586690527792355, 0.45821228092551153, 333.62084901255724]",158,25
NULL,158,26
NULL,158,27
