Parameters,Group ID,Image
"[76.8329215537813, 26.216122977340618, 0.7680569424316515, 0.3510238457235616, 5.55297103303144]",985,230
NULL,985,240
"[86.58903206244872, 27.490468499552172, 1.3069203653208057, 0.5414287471713759, 10.885527054662703]",985,250
NULL,985,260
