Parameters,Group ID,Image
"[15.107656149693888, 58.102759944757196, 0.3496991711319417, 0.19296773110924192, 0]",181,0
NULL,181,1
NULL,181,2
NULL,181,3
NULL,181,4
NULL,181,5
NULL,181,6
NULL,181,7
NULL,181,8
NULL,181,9
"[6.502296113193474, 66.67548231220447, 0.5813368602685894, 0.2419423177163911, 352.86665276774085]",181,10
NULL,181,11
NULL,181,12
"[3.716062151625598, 69.62399169656386, 0.6273898398019709, 0.3311882113530096, 347.92537436643676]",181,13
NULL,181,14
NULL,181,15
NULL,181,16
