Parameters,Group ID,Image
"[  51.66303964848783,  75.39757886221095,  0.653000624839926,  0.4785957493682531,  0 ]",	11,	0
"[  51.74031779083572,  76.6280330073866,  0.6920672706908135,  0.4709644563280193,  0 ]",	11,	1
"[  51.79240221241219,  78.02473722852073,  0.6840400628992924,  0.542306003105665,  0 ]",	11,	2
"[  51.854153857386365,  79.43727510096431,  0.6672824924016025,  0.5538997102395601,  0 ]",	11,	3
"[  51.88734222465163,  81.03819423880877,  0.7519741703502169,  0.5980754680584784,  356.3670492605112 ]",	11,	4
"[  52.045737725219645,  84.29155634751173,  0.6555026931224361,  0.6152599399674868,  0 ]",	11,	5
"[  52.05747627613921,  86.06388695464041,  0.807568029720526,  0.7088380481759198,  352.56859202883356 ]",	11,	6
"[  52.09551051389059,  87.96903938718845,  0.826665482182854,  0.672150811262,  0 ]",	11,	7
"[  52.22106016266926,  89.96319006017629,  0.8833478244328317,  0.794302487464393,  356.9872124958166 ]",	11,	8
"[  52.30609368361768,  92.06901534810679,  0.8830835006701327,  0.7742752813264994,  0 ]",	11,	9
"[  52.45485038764137,  96.69570490354673,  0.9654996390831847,  0.8636225820275302,  0 ]",	11,	10
