Parameters,Group ID,Image
"[  53.51019340104665,  70.99305463139859,  0.4855645671886676,  0.31906383291216434,  5.4403320310061645 ]",	9,	0
"[  53.541467226095044,  72.09952861961712,  0.621009572387497,  0.35294793408837016,  4.343239951691203 ]",	9,	1
"[  53.71484915075595,  73.21353127755333,  0.5886092182286188,  0.38678372541703254,  3.9436474952463527 ]",	9,	2
"[  53.74051988333597,  74.4464778517914,  0.6381915401429942,  0.4171376269871468,  4.447384850092192 ]",	9,	3
"[  53.82276960271641,  75.71970586835349,  0.7120138570573927,  0.42331715173432377,  1.4202655463969336 ]",	9,	4
"[  54.02472981512433,  78.477349914819,  0.6905902448019188,  0.46144495497560467,  0 ]",	9,	5
"[  54.15838173959663,  79.88829957327509,  0.7013090784415258,  0.5092061080774077,  3.6214847041144935 ]",	9,	6
"[  54.22387129192686,  81.49038784168435,  0.8026417762050456,  0.5206344752110336,  3.6084688525654087 ]",	9,	7
"[  54.379917431225955,  83.0812577261851,  0.7361231870273741,  0.5716008554650369,  4.873896422200289 ]",	9,	8
"[  54.4798376852674,  84.84629817155395,  0.7472245005670379,  0.5315919841942954,  8.426969021473099 ]",	9,	9
"[  54.8105458044568,  88.53830173772528,  0.7824633894535402,  0.5722737256490446,  0 ]",	9,	10
"[  54.91359772360324,  90.54808677492254,  0.9227563609210777,  0.6656752039664329,  10.684912399995198 ]",	9,	11
"[  55.105941812379754,  92.71164198812419,  0.8228717107511508,  0.7423387733311992,  6.772159966108347 ]",	9,	12
"[  55.27531283616586,  95.03363579265095,  0.9231154743912584,  0.7067055559633882,  10.684912400004293 ]",	9,	13
