Parameters,Group ID,Image
"[21.695167182638656, 44.593975849642966, 0.8334866488245359, 0.2669379187238263, 357.0390638658365]",22,0
"[21.43243234377488, 44.75893583356212, 0.908621385746141, 0.24529166081019954, 354.0048084123923]",22,1
"[21.18166439118214, 44.90758038781852, 0.8139824937574187, 0.2108172212793424, 354.8769858784792]",22,2
"[20.838861199307267, 45.0840419151268, 0.8897665173220561, 0.2403100115799747, 355.10652304077325]",22,3
"[20.465652770131072, 45.34887852865454, 0.8157335465132963, 0.24497179519929863, 353.72791546999247]",22,4
NULL,22,5
"[19.39804216308931, 45.94293470662913, 0.8774942753446388, 0.26398031470555866, 351.8560693630758]",22,6
"[18.871170100590625, 46.17281656766747, 1.0366743310923399, 0.2549406075245955, 353.6567200406958]",22,7
"[18.59289544128543, 46.37611186303993, 0.9814975827031627, 0.3001225493215896, 353.6598082540904]",22,8
"[18.18901271722042, 46.611740880087204, 1.0834352140237224, 0.22534887405380755, 353.36786086970085]",22,9
"[17.352925956483347, 47.10926576416659, 1.0275542786433782, 0.22301146634462632, 355.2835462159392]",22,10
"[16.931719320087364, 47.402301295128204, 1.1252057546279741, 0.31041334983328245, 352.55464425888823]",22,11
"[16.54472228301272, 47.65238565275046, 0.9874176279487761, 0.2578318484407093, 354.28940686249894]",22,12
"[16.118675162392098, 47.982270937000045, 1.0801028644860877, 0.287455201958359, 351.33975286872965]",22,13
"[15.720476235441849, 48.2273390499177, 0.9766646796273966, 0.2748406374089348, 350.1341930569104]",22,14
"[14.674016811661106, 48.82520843568141, 1.074893430957961, 0.29315693328724307, 353.75808565258455]",22,15
"[14.293309110736036, 49.135178330015, 1.1336844024938537, 0.3873695898145257, 352.3722350728574]",22,16
"[13.721704790115686, 49.480562062652986, 1.1479873825734779, 0.30783262626024993, 351.2218378138398]",22,17
"[13.20738704256369, 49.786455083157996, 1.1890817951661112, 0.3823562104085163, 352.28810758734176]",22,18
"[12.655100750394835, 50.14352567957432, 1.2717488351001425, 0.33237159559637386, 352.3340559027459]",22,19
"[11.588321809130234, 50.934200165774854, 1.1922163762447255, 0.3423266054080077, 352.60809654810873]",22,20
"[11.141641103127398, 51.28557276972219, 1.2653801826484399, 0.3629266151524054, 351.0569424953376]",22,21
"[10.502214020454147, 51.65792401141519, 1.1870952270833295, 0.4533517735405495, 352.01067323360365]",22,22
"[10.030374773442215, 52.07959871107626, 1.3413635988926433, 0.383937323288014, 351.00340602864395]",22,23
"[9.360937286430515, 52.47123712883113, 1.2689217358694131, 0.44540326399872127, 353.0540381458834]",22,24
"[8.078190485224974, 53.375326747750606, 1.3355257388367698, 0.4332498311152254, 350.03734236311135]",22,25
"[7.414340334968222, 53.81826287608394, 1.4069718797508821, 0.5289202480164368, 350.4399035191162]",22,26
"[6.779066597095372, 54.35287749989294, 1.4499505064865397, 0.4592372843875624, 350.3751159808331]",22,27
"[6.014199355019751, 54.82068446417699, 1.5453427077295754, 0.4535105449268085, 352.6656211985851]",22,28
"[5.238528328026631, 55.4311751182611, 1.468866526013779, 0.48305532476784746, 350.40686573727004]",22,29
"[3.7840846762659366, 56.466700068555475, 1.547601889330984, 0.5126085326322232, 348.19775406938084]",22,30
"[2.9773676144302437, 57.101152708185985, 1.598805588891429, 0.49052397247968027, 350.2175574134423]",22,31
"[2.211715282026363, 57.6933014643469, 1.6286783780531864, 0.5542002018764303, 346.1075674844818]",22,32
