Parameters,Group ID,Image
"[39.32023689804091, 43.2920256487314, 1.2884018451027117, 1.4458608589235666, 0]",1099,290
"[39.033742331288344, 71.81628392484343, 1.5337423312883445, 2.1920668058454993, 0]",1099,300
