Parameters,Group ID,Image
"[  61.39973896043291,  48.514206139051154,  1.9671035849214147,  0.7237751476076234,  0 ]",	0,	0
"[  61.6376887198477,  48.79461076456778,  1.9431852800706935,  0.7185725970675615,  0 ]",	0,	1
"[  61.81304666465623,  49.05429261414673,  2.0042932982284505,  0.8029290570624183,  2.768334561192489 ]",	0,	2
"[  62.00581481813698,  49.35011416474339,  1.9910243018335594,  0.7305987078934566,  1.0912162252633948 ]",	0,	3
"[  62.06026704559818,  49.72478750200588,  2.107727175130597,  0.8066898156478972,  0.48547797248181723 ]",	0,	4
"[  62.4817375865513,  50.3830797036192,  2.0842005697633716,  0.8309109346910317,  1.2383229508067757 ]",	0,	5
"[  62.603661230990696,  50.70572493868741,  2.161915793920882,  0.8965311559347631,  2.3731621295400487 ]",	0,	6
"[  62.77538428701794,  51.11104108936958,  2.2254193484314166,  0.8535205993448308,  1.3219756595361218 ]",	0,	7
"[  62.96757598599585,  51.49252547641348,  2.275747959542711,  0.9894486568125893,  1.6365770416151122 ]",	0,	8
"[  63.20681804457819,  51.87863667821531,  2.249047552943584,  0.8970310760923573,  1.4470867730632335 ]",	0,	9
"[  63.63138808612664,  52.68318575669297,  2.3456325470083454,  0.9624824040174911,  2.205249284016702 ]",	0,	10
"[  63.834379312103174,  53.09386494182513,  2.4133356512112942,  0.9990114821284592,  1.8357747405460714 ]",	0,	11
"[  63.997431084638364,  53.56272648687259,  2.4531986803230823,  1.1513674374366754,  2.6561472039542764 ]",	0,	12
"[  64.2980984491993,  54.02688070661684,  2.398817199130132,  1.066376392236088,  1.0322446915643013 ]",	0,	13
"[  64.52444453290396,  54.50508336296933,  2.525119122392841,  1.1618107715445887,  3.2572219406678187 ]",	0,	14
"[  65.0183714869383,  55.55439060890559,  2.513052497661813,  1.1887660848844686,  2.368938078252654 ]",	0,	15
"[  65.28678890389335,  56.06756654542584,  2.68058853695154,  1.358613606876387,  3.4529350738453104 ]",	0,	16
"[  65.54490932138683,  56.647868804442716,  2.665672634656117,  1.2186693708801817,  3.13816611990552 ]",	0,	17
"[  65.75760487493262,  57.19601561772174,  2.786841292727546,  1.392770539589923,  1.8778774472859823 ]",	0,	18
"[  66.11036990424381,  57.79050475638531,  2.692529111682744,  1.3322224629682835,  2.5682139497218373 ]",	0,	19
"[  66.68699084347188,  59.06807213626134,  2.803963689014315,  1.4674762987830723,  3.4422215154527294 ]",	0,	20
"[  67.05351607886978,  59.763508924967724,  2.8320741119208446,  1.4830653954035973,  3.18712667331215 ]",	0,	21
"[  67.38029184601841,  60.363798339541276,  3.074190378149401,  1.6802367707748722,  4.4233893460447575 ]",	0,	22
"[  67.8130242577429,  61.16951794322737,  2.8457598872432937,  1.5852302883681015,  4.486107326618708 ]",	0,	23
"[  68.04070202186537,  61.818788092031184,  3.1794866836020224,  1.8220355798777166,  4.302168741553544 ]",	0,	24
"[  68.80179560774083,  63.49014149289266,  3.0606802781359064,  1.7618807371795882,  4.0141756954132575 ]",	0,	25
"[  69.21176141098914,  64.32836889040509,  3.278963798728714,  1.9677964268611168,  3.7068742254864446 ]",	0,	26
"[  69.62084776602364,  65.2536898465605,  3.190523119280697,  1.8893890265035296,  4.486107326618992 ]",	0,	27
"[  69.96082911330903,  66.15896504546754,  3.4591984391206574,  2.095773128103239,  3.940913884353165 ]",	0,	28
"[  70.43477556026008,  67.09608725682085,  3.3178343998373503,  2.071324336287439,  4.566940751584866 ]",	0,	29
"[  71.31633934114025,  69.15297413089026,  3.699819094312113,  2.4089894917892334,  6.923448914807864 ]",	0,	30
"[  71.75572041681205,  70.16985693007179,  3.6895051523570115,  2.296781709235644,  5.230826466389658 ]",	0,	31
"[  72.22925082259249,  71.3837846892857,  3.791364365389522,  2.507374946444795,  7.579456989372261 ]",	0,	32
"[  72.79159795160962,  72.57130224472007,  3.88475904395442,  2.5285673637821664,  7.3782495707094995 ]",	0,	33
"[  73.29718358602781,  73.79165338985146,  4.033004510758545,  2.6318845484845017,  5.114710713295835 ]",	0,	34
"[  74.56444831895473,  76.57408208327887,  4.146148541933944,  2.9900976077002173,  11.916362087258392 ]",	0,	35
"[  75.17521030650467,  78.0578991871895,  4.1508023848652,  2.9545296132709207,  9.963804189905659 ]",	0,	36
"[  75.8636294543355,  79.54553964779684,  4.394654434377129,  3.189346695003762,  11.378868181455346 ]",	0,	37
"[  76.42563444465101,  81.13414790361797,  4.495962959251002,  3.311848369558718,  12.278765370958752 ]",	0,	38
"[  77.19460648726341,  82.85428308487475,  4.613012912106494,  3.451980776018356,  10.94851158594605 ]",	0,	39
"[  78.88217483968741,  86.59303186619542,  4.873260454448248,  3.8134753605312417,  14.965083204395285 ]",	0,	40
"[  79.69097372771343,  88.59853967745248,  5.015615670541173,  4.095234002224951,  16.95930931388648 ]",	0,	41
"[  80.62740991613114,  90.7130807480563,  5.28921632404217,  4.34972706355667,  18.868130846321037 ]",	0,	42
"[  81.54636615217709,  92.95916370347051,  5.474420475366462,  4.398202301956037,  18.996654155492195 ]",	0,	43
