Parameters,Group ID,Image
"[33.98266589536421, 66.33338213418524, 1.1218215862634722, 0.6837082133832268, 0]",160,0
NULL,160,1
"[33.46025220516741, 68.20827375880724, 1.2888999661216247, 0.6855632768904332, 351.384351815835]",160,2
"[33.02527767441622, 69.0636552856052, 1.3383929102791454, 0.7683345369088833, 0]",160,3
NULL,160,4
"[31.89076826423591, 72.3319247543781, 1.4349386870669736, 0.8176382479965623, 355.95354766234493]",160,5
NULL,160,6
"[31.140204659673238, 74.763851486241, 1.4093809765587713, 0.8328696049492856, 352.5654783238373]",160,7
"[30.578372466140895, 76.03588418087529, 1.3012929420345525, 1.0433838701128344, 352.54975093134544]",160,8
"[30.060001149550935, 77.46955193469059, 1.5822478799506872, 0.9650156875288805, 354.74619724873907]",160,9
"[29.07069582732366, 80.11297765583015, 1.6259427522682297, 1.2367466776748106, 0]",160,10
"[28.6703030767336, 81.88575603713552, 1.576853674107238, 1.0650694011659558, 350.02664438634685]",160,11
"[28.033092639055475, 83.54190255159062, 1.5458750510505228, 1.2449466632028277, 351.57303097851934]",160,12
"[27.498908924323313, 85.37388572047028, 1.7305080420910908, 1.1561789148069619, 348.74520871386284]",160,13
NULL,160,14
"[25.52031453726094, 91.26338630348681, 1.8723610110427107, 1.3260627431225422, 348.1975657922167]",160,15
NULL,160,16
"[23.910362778064957, 95.78860544491843, 1.8086651585715194, 1.5582378329324655, 341.85624225321214]",160,17
NULL,160,18
NULL,160,19
NULL,160,20
