Parameters,Group ID,Image
"[30.441484935452824, 36.46213935826127, 0.4470478593119225, 0.09905676863606772, 0]",81,0
NULL,81,1
NULL,81,2
NULL,81,3
NULL,81,4
NULL,81,5
NULL,81,6
NULL,81,7
NULL,81,8
NULL,81,9
"[28.151859417178528, 36.64185097654085, 0.7404566131051776, 0.1589725245686982, 356.87588739383307]",81,10
NULL,81,11
NULL,81,12
NULL,81,13
NULL,81,14
NULL,81,15
NULL,81,16
NULL,81,17
NULL,81,18
"[26.338351523481386, 36.928841338372656, 0.6510898869140498, 0.14252877912167594, 356.72951207682104]",81,19
"[25.965496291421797, 37.03684389138095, 0.5797033227310382, 0.17524463318366398, 359.07092404932064]",81,20
NULL,81,21
NULL,81,22
"[25.302136074899558, 37.16281121641892, 0.6863551938347076, 0.12607881726256676, 356.9059304861971]",81,23
NULL,81,24
"[24.625581616407104, 37.32986805417311, 0.6379005125374331, 0.12629025320657652, 356.0548137709624]",81,25
"[24.353612926888466, 37.415419719602006, 0.6626018515987514, 0.15381007121392828, 355.0332253503052]",81,26
"[24.135991964630698, 37.484954616262044, 0.6863551938347069, 0.15693286953447222, 356.9059304861971]",81,27
NULL,81,28
"[23.598882131968075, 37.62916472455062, 0.6959514382714497, 0.15246539894160804, 356.05481377096316]",81,29
"[23.07867764981416, 37.76771457576147, 0.6926767911292169, 0.16679680414093428, 357.7262918147996]",81,30
"[22.835015110149477, 37.82606581394018, 0.7225677991535983, 0.1449906398519545, 356.8201581010675]",81,31
"[22.5440296112616, 37.93454645182084, 0.710213633518618, 0.1649615695747359, 356.68221883166694]",81,32
"[22.286348085789992, 37.983180462791374, 0.7039463656104946, 0.17964314926689437, 355.79464299829186]",81,33
"[21.942890565673466, 38.12375904872909, 0.7786087769637805, 0.18243401452745275, 355.8485937233469]",81,34
"[21.353888618802806, 38.2784877747218, 0.7626688998814228, 0.20067221177912697, 355.04653867818365]",81,35
"[21.07632891496524, 38.377142092084576, 0.7259446895358148, 0.18962332422615438, 355.9143832200253]",81,36
NULL,81,37
"[20.485656715622238, 38.59755512702441, 0.765222037202243, 0.1750712980624441, 354.4724598483431]",81,38
"[20.189636788850372, 38.701824889337274, 0.8202477618023359, 0.18577761699200088, 355.1298058648805]",81,39
"[19.593869541978762, 38.91356048238865, 0.7230488687446835, 0.1925405222808294, 357.0891621738326]",81,40
"[19.257804347656872, 39.0724683875615, 0.7259446895358224, 0.2195638491039773, 0]",81,41
"[18.9384652358692, 39.20016674626766, 0.806438685029663, 0.20353972717530674, 355.7221270805458]",81,42
"[18.55053385049444, 39.33859334272217, 0.8016411370864911, 0.22440710944836303, 353.23382517744807]",81,43
"[18.20690453528585, 39.50270824579455, 0.8146712627013059, 0.21352753814023645, 354.9490472146778]",81,44
NULL,81,45
"[17.09792058738876, 39.92707752787132, 0.916642320575789, 0.24456072203085966, 355.48601154199946]",81,46
"[16.711973780044495, 40.083060667812745, 0.8261251428972617, 0.24752785099994273, 354.36304739649995]",81,47
"[16.360246967334252, 40.19917073659123, 0.8872657316548913, 0.21792247890046815, 354.12913882651696]",81,48
"[15.906960508649162, 40.37052672266909, 0.961847805136314, 0.2730672687529477, 355.0522610034938]",81,49
"[15.171362393159615, 40.6867197156466, 0.8532683219521124, 0.26311370347170293, 353.5812132697613]",81,50
"[14.755180468136183, 40.86908909852539, 0.8803450589479792, 0.27774399109941467, 354.8826851500278]",81,51
"[14.35426378309761, 41.027205731590946, 0.9647611619215134, 0.2793229979174361, 355.03431401636396]",81,52
"[13.901387249429634, 41.269565887004795, 0.9348822202961902, 0.2748141184451051, 353.75996221804775]",81,53
"[13.489363336513765, 41.43101815442708, 0.9255493161670599, 0.2849336201745344, 354.79901656492814]",81,54
"[12.56303445594038, 41.880862941271715, 0.9353666171414871, 0.35070407637513157, 351.68972283247683]",81,55
"[12.1012359694592, 42.13722641947674, 0.9483034031326221, 0.2925984123482819, 354.6329509307031]",81,56
"[11.563995415784694, 42.32262045985116, 1.0241643921158106, 0.31759276312560925, 354.0043759189237]",81,57
"[11.076720821540437, 42.52728637043448, 1.102438018131345, 0.3131148292002113, 353.4618228738882]",81,58
"[10.576191725044694, 42.80183719053827, 1.0801636265779002, 0.3355110928391528, 353.3128165558155]",81,59
"[9.588431388858249, 43.34246825079884, 1.0345518431095995, 0.33137539715371306, 352.9480221646988]",81,60
"[9.102910610813636, 43.57883036265351, 1.0565505820676109, 0.3413007328235742, 352.99485217347024]",81,61
"[8.477955444657228, 43.88041524371568, 1.22381420280775, 0.3544628767721618, 352.80652994470347]",81,62
"[7.922378761554281, 44.146339264340355, 1.1267777888869728, 0.3520647718550364, 353.74145941182115]",81,63
"[7.326592241405218, 44.437143972790494, 1.1829070724013373, 0.3802485223225646, 354.0684730750814]",81,64
"[6.160144795170353, 44.97035669427102, 1.2394986625451438, 0.43446866844347376, 353.29016319224405]",81,65
"[5.51331105763383, 45.32928173714893, 1.2470957884636193, 0.41333629725161297, 350.9563353438837]",81,66
"[4.893038791105567, 45.58810083712959, 1.2190932516737851, 0.4259327691938515, 351.634113875968]",81,67
"[4.20869927565537, 46.00981619997383, 1.2426988249191644, 0.3910036170640298, 352.0928372970421]",81,68
"[3.5911731167227163, 46.36998022836641, 1.2331371649756597, 0.41275251458770024, 351.33772232334314]",81,69
"[2.184876450144463, 47.099490653734435, 1.3689507510794015, 0.46544919040894, 352.22547781873516]",81,70
"[1.467150479262187, 47.466507199747404, 1.3734788568574938, 0.4654810898459662, 351.3628968605274]",81,71
NULL,81,72
NULL,81,73
NULL,81,74
