Parameters,Group ID,Image
"[  62.1412724605521,  74.26777846650764,  0.5467302237594109,  0.3240751345372107,  9.912751446721416 ]",	14,	0
"[  62.40729256794093,  75.44949029668592,  0.6397803445630332,  0.38643237442299627,  9.587398806520298 ]",	14,	1
"[  62.72239464134485,  76.76619592196921,  0.6652442326074297,  0.4397075700857021,  10.649219659246796 ]",	14,	2
"[  63.115381408869396,  78.13738942969,  0.6609520165678378,  0.44192818081098273,  11.425652163611403 ]",	14,	3
NULL,	14,	4
"[  64.12223389317629,  82.71909936148248,  0.7166950630131553,  0.514122730489056,  4.2363947990536985 ]",	14,	5
"[  64.45884071077353,  84.37954924400208,  0.7239143083965536,  0.581456525830992,  7.674479516888709 ]",	14,	6
"[  64.8928330046263,  86.16374222640454,  0.8081319895491039,  0.563012268703523,  15.72147320808972 ]",	14,	7
"[  65.33126133515485,  88.069864429416,  0.764019938813857,  0.6473029434280587,  10.652392579848026 ]",	14,	8
"[  65.81007611256263,  90.1043707549152,  0.782170548807017,  0.5930318285807203,  12.242625041190195 ]",	14,	9
"[  66.83564079392751,  94.46374128688164,  0.9861118788079329,  0.6681717392342504,  17.03551423528711 ]",	14,	10
"[  67.37930795913746,  96.89212190190231,  0.9125528050070547,  0.6831017577048001,  11.53462065363783 ]",	14,	11
