Parameters,Group ID,Image
"[27.155996188770843, 22.668426890191242, 0.5581825231789914, 0.13827801064624973, 356.2847108945714]",785,130
NULL,785,140
"[20.78520221612967, 21.47086298547769, 0.7355434315405749, 0.1901667157457842, 355.1450578817046]",785,150
NULL,785,160
"[12.064171304937108, 22.15731627938321, 0.8829964919939928, 0.29748888072139845, 354.09077213083754]",785,170
"[6.309550380510305, 23.58045829310379, 0.9807068249181105, 0.33060109691104816, 352.13999793342475]",785,180
NULL,785,190
