Parameters,Group ID,Image
"[15.514550663736967, 29.889880952552357, 0.6792950005154825, 0.9013951036337886, 0]",1098,290
"[8.085173920812833, 52.91886477316707, 0.8228274344190059, 1.3147911550796254, 36.4692343900532]",1098,300
