Parameters,Group ID,Image
"[84.87392769503688, 61.730132350069745, 0.4811890221495644, 0.2847460390619717, 9.309940174987048]",246,0
NULL,246,1
"[86.33382673124932, 63.2258005919647, 0.5393371602858816, 0.2820481051754699, 6.952957468163959]",246,2
NULL,246,3
"[87.8034574497012, 64.85455007934644, 0.5587956852855455, 0.28221143448953956, 6.968256741377729]",246,4
NULL,246,5
NULL,246,6
NULL,246,7
NULL,246,8
NULL,246,9
"[94.85713489802816, 72.7022801421766, 0.6474811314315063, 0.3856524980423247, 11.994721918022321]",246,10
NULL,246,11
NULL,246,12
NULL,246,13
NULL,246,14
NULL,246,15
