Parameters,Group ID,Image
"[  21.785507650873733,  65.51794614127478,  1.1234959468399843,  0.5765939266198359,  0 ]",	6,	0
"[  21.13960166232037,  66.35571162236958,  1.1420534976866275,  0.4779789253303846,  352.2622263653681 ]",	6,	1
"[  20.64485901529322,  67.23496178830963,  1.0747784578306365,  0.49579433898416636,  351.6476926020646 ]",	6,	2
"[  20.010587515045287,  68.20004408673893,  1.1879094919677007,  0.5189690978821062,  352.33319573818613 ]",	6,	3
"[  19.391129007097184,  69.2148220882623,  1.1299304798811014,  0.5682420108274305,  350.54301620306376 ]",	6,	4
"[  18.073585246226788,  71.303767460317,  1.3517825124813894,  0.6280563480772772,  353.5820001191555 ]",	6,	5
"[  17.256324487324473,  72.35119870405126,  1.2344241737496617,  0.7189312208147647,  350.62687728488294 ]",	6,	6
"[  16.416162165258076,  73.56547996810383,  1.3007775362036975,  0.6498000199724057,  352.3011619783802 ]",	6,	7
"[  15.791461429803752,  74.73329515094954,  1.3303409876127736,  0.7378748401863946,  350.7760777178948 ]",	6,	8
"[  14.86776899096445,  76.1393180049058,  1.414604349924392,  0.7397889903518818,  350.46409566776373 ]",	6,	9
"[  13.213037615841976,  78.91370662997763,  1.4455504776832657,  0.7777814475932328,  350.5398247712479 ]",	6,	10
"[  12.28012914815767,  80.33442503005003,  1.5663559335073636,  0.8011449690387902,  348.3291798534353 ]",	6,	11
"[  11.267647602828527,  81.84384754284513,  1.5104974538425944,  0.9240353042589325,  346.0475222319227 ]",	6,	12
"[  10.19979859492816,  83.62728492765055,  1.5786320694161537,  0.9192181105641942,  347.72389634612216 ]",	6,	13
"[  9.194076178942707,  85.2285440680927,  1.6935979763845612,  1.03319668397951,  347.7748773242632 ]",	6,	14
"[  6.648318662404999,  89.26081532311153,  1.7937144061035895,  1.014214373244196,  344.5883322865284 ]",	6,	15
"[  5.418835948927381,  91.25308007909717,  1.8486195136335901,  1.1025599788842895,  342.47741561320606 ]",	6,	16
"[  4.020966438799178,  93.63990757458379,  2.0014247395191127,  1.1407821314327975,  342.450920999501 ]",	6,	17
"[  2.5245420673527015,  95.93361066616339,  2.1753585848546626,  1.2777908473516377,  342.71850162818316 ]",	6,	18
