Parameters,Group ID,Image
"[80.17038648469887, 51.706376559429714, 0.672998856977555, 0.33789448674885547, 13.544072651550891]",786,130
"[88.82328865638638, 61.90225657185686, 0.7564877841978107, 0.4737439803497903, 8.746162262548296]",786,140
NULL,786,150
