Parameters,Group ID,Image
"[29.14250493165358, 37.07827049504886, 1.001952637910101, 0.505202021625796, 354.01940047523635]",966,220
"[24.25898127999948, 39.39273575849204, 1.1508887103506864, 0.6574228651253056, 352.9473820229648]",966,230
"[17.8027141137843, 43.26751728849915, 1.7457100008803013, 0.9760398528502993, 350.473648642871]",966,240
"[10.522201327319406, 47.51617775172117, 1.8900309341958224, 1.0314260481670452, 348.63434526574406]",966,250
"[2.7811388418624956, 38.708567804777076, 2.4161368294404864, 1.4612114653387522, 350.933497260184]",966,260
