Parameters,Group ID,Image
"[42.928567073604626, 81.29222414667984, 0.45566508271382133, 0.41345124871799044, 0]",18,0
"[42.792193945662454, 82.88309079153309, 0.5587195174026788, 0.48304046802873307, 355.69553103949386]",18,1
"[42.595724490768426, 84.57555032141809, 0.5979219552603332, 0.49744861968333126, 353.55046529615856]",18,2
"[42.40461801613662, 86.38532257837738, 0.6246350750850412, 0.4981354826545865, 0]",18,3
"[42.175969253648006, 88.3040355394445, 0.6026613023243922, 0.5669487871527541, 353.69839126475273]",18,4
"[41.777190958849516, 92.34333677752116, 0.6736809922467656, 0.6303462263173426, 0]",18,5
NULL,18,6
"[41.21278348066146, 97.0045452976369, 0.7622499900647167, 0.6867627854198879, 0]",18,7
