Parameters,Group ID,Image
"[  59.566021569627495,  71.54602259348546,  0.6864878363701835,  0.41022492802991967,  2.5261169116205906 ]",	13,	0
"[  59.840455143446704,  72.65149095548742,  0.7090902154631725,  0.38643237442299533,  5.449986063125493 ]",	13,	1
"[  60.05250216105491,  73.78755487716857,  0.7553561253567764,  0.42162546378194804,  4.724451697171901 ]",	13,	2
"[  60.32949005339331,  75.0027729956734,  0.7460272822265881,  0.4133645626794893,  3.0258165388706857 ]",	13,	3
NULL,	13,	4
"[  61.07110310804109,  79.12571097086627,  0.864666938458469,  0.545344275210227,  9.554289672399591 ]",	13,	5
"[  61.34563543021208,  80.65882942134702,  0.8557270518041442,  0.6431748166032935,  6.28689336173187 ]",	13,	6
"[  61.630392607288606,  82.13858062011988,  1.025128954398836,  0.5407414055094761,  9.231209319496429 ]",	13,	7
"[  61.99789043111558,  83.89863153420255,  0.9045183455982391,  0.7292818508809515,  5.013113755033544 ]",	13,	8
"[  62.34567160993382,  85.71295871157125,  0.8911414411193977,  0.672513613168329,  8.340823548189007 ]",	13,	9
"[  63.105301279287794,  89.41171985842006,  1.0021582916462424,  0.7685844591476504,  17.03551423528711 ]",	13,	10
"[  63.43919039765166,  91.55796089087661,  1.0735915353024106,  0.7966901780247355,  10.069062698893163 ]",	13,	11
NULL,	13,	12
"[  64.30073073585346,  96.1081263719667,  1.1134070219679189,  0.8837795590139782,  7.293876231910701 ]",	13,	13
"[  64.90527042215123,  98.66612857513996,  1.1031596608435563,  1.017694494522946,  12.249123419755108 ]",	13,	14
