Parameters,Group ID,Image
"[36.496612358585594, 47.762535021640645, 0.42520463053394764, 0.17924927305995197, 0]",523,59
NULL,523,60
NULL,523,61
NULL,523,62
NULL,523,63
NULL,523,64
NULL,523,65
NULL,523,66
"[34.24619717216323, 52.34002320580225, 0.4363005138933791, 0.24374621648013328, 353.97533968331413]",523,67
"[33.90903204309683, 52.93823269981227, 0.47422023603245833, 0.2408559451384777, 353.1572265873697]",523,68
"[33.64156729898766, 53.50717112876578, 0.481918809280572, 0.2432368984587258, 353.0273538615936]",523,69
"[33.11914013450085, 54.725028587669044, 0.46247089884120307, 0.26820611056458016, 353.06565109873134]",523,70
"[32.800032492011866, 55.359541556824865, 0.5537786065911924, 0.2851035267982635, 351.7699770359875]",523,71
"[32.48471366554772, 56.03618551420644, 0.482198394530693, 0.24217460584754275, 353.24642596446915]",523,72
NULL,523,73
"[31.790154526669927, 57.41397888790074, 0.5606549254192836, 0.28627855024626314, 353.6181958857386]",523,74
"[31.164331153552183, 58.92794689591538, 0.565430273490256, 0.31149043802565013, 354.40592390768234]",523,75
NULL,523,76
"[30.42543334418612, 60.57450870525307, 0.538162745368291, 0.2958576821835201, 351.9005208980802]",523,77
NULL,523,78
"[29.615797092922787, 62.275414312789046, 0.577658784408131, 0.3367308224461232, 349.72891984307864]",523,79
NULL,523,80
NULL,523,81
"[27.8623683821582, 66.35335010338733, 0.6120018218172059, 0.4107546706251527, 349.80849814997316]",523,82
"[27.36775280646569, 67.41662495174634, 0.6516603321094944, 0.42771195412419594, 349.5136341802948]",523,83
"[26.83224518964215, 68.54741471432084, 0.6872770765317556, 0.47152811664129485, 346.6296907589028]",523,84
NULL,523,85
"[25.213554459390558, 72.31659415415291, 0.7183729861205128, 0.5487960479337894, 342.0991156061783]",523,86
NULL,523,87
NULL,523,88
"[23.365861610589114, 76.69845985811186, 0.7853108016493477, 0.6001773912458184, 341.04576830049047]",523,89
"[21.950182124882307, 80.02333502844289, 0.7811892505928061, 0.670268153984111, 343.9600566939507]",523,90
"[21.245572710113965, 81.83022830756624, 0.8333507339096812, 0.7002979901026226, 341.8508449988956]",523,91
"[20.36535543673429, 83.73974019726057, 0.8597824034227666, 0.6229505541375994, 341.3884724168566]",523,92
"[19.530129196375732, 85.65983335520637, 0.8907552427301889, 0.8064500761133624, 337.79938858659557]",523,93
"[18.63984598173777, 87.85263928932073, 0.9087954328844328, 0.7114319829488088, 336.3859310455889]",523,94
"[16.6157174879634, 92.48626321873026, 1.019749459376474, 0.8945260505321094, 335.240277626697]",523,95
"[15.527781511515728, 94.9653154988103, 1.0771251429992448, 0.9593411968344573, 336.9507440634131]",523,96
"[14.597813470225432, 97.59292698591858, 1.0141007285482462, 0.9119862531948085, 322.72768648405315]",523,97
NULL,523,98
