Parameters,Group ID,Image
"[45.443140797105315, 58.960918659093394, 0.50312448154185, 0.7637067765865857, 28.072486935849952]",1091,280
"[42.84230203006319, 91.47517826964643, 0.7811892505928029, 1.0169585784586275, 0]",1091,290
