Parameters,Group ID,Image
"[  68.81257632178469,  52.03742450925519,  0.9451328949511877,  0.424529008440325,  2.72631099389298 ]",	2,	0
"[  69.2057339121064,  52.366518243622174,  0.9070637571442951,  0.32674581774928435,  4.763641690729287 ]",	2,	1
"[  69.52210775313901,  52.75288105464349,  0.9161862061304562,  0.4522392358331329,  5.14276455788098 ]",	2,	2
"[  69.82336111735408,  53.13827955244719,  0.8880768175364484,  0.37194116038212865,  5.063616853033523 ]",	2,	3
"[  70.12380637484486,  53.64694208920754,  0.9303812616939005,  0.42872837296567173,  3.9969686689452715 ]",	2,	4
"[  70.70620364982844,  54.53954146581235,  1.0034759416320853,  0.4011294167474098,  2.290610042635592 ]",	2,	5
"[  71.12889761931922,  55.01929417510032,  0.9099326194957094,  0.4834782552678618,  4.361572645024296 ]",	2,	6
"[  71.37901685723016,  55.506626149202866,  1.074082092701434,  0.4400019010063794,  4.410508970485239 ]",	2,	7
"[  71.8350901117157,  56.04520456045693,  1.008064736873395,  0.523996426322916,  4.685081697589737 ]",	2,	8
"[  72.14822699954146,  56.556718384789065,  1.0099287172749667,  0.4578021678738434,  5.988512603483628 ]",	2,	9
"[  72.88265701062033,  57.67873830638429,  1.099867561725348,  0.49566292518832294,  6.2540327439157295 ]",	2,	10
"[  73.3086658528523,  58.23232250045257,  1.1995837756877135,  0.5560299152412834,  5.856013585433857 ]",	2,	11
"[  73.71241498676841,  58.87901251166827,  1.1756159935044501,  0.6001479192510795,  4.946338257191599 ]",	2,	12
"[  74.18584489280265,  59.53995682480326,  1.1497513862044388,  0.5797353817055456,  7.013607212075044 ]",	2,	13
"[  74.6497636012151,  60.16951389316909,  1.1864327627974816,  0.6568909679694097,  6.434739151016856 ]",	2,	14
"[  75.52908549387602,  61.61493631560839,  1.2459475545951904,  0.6294871779451767,  5.721496366988731 ]",	2,	15
"[  76.12648838028467,  62.381283129223306,  1.1885212646319023,  0.676286270068056,  6.8882582769907685 ]",	2,	16
"[  76.5204953433636,  63.160875298256535,  1.2364248421379709,  0.6824406664377063,  7.373766361333139 ]",	2,	17
"[  77.09864823322957,  63.94971981171311,  1.393870505643394,  0.7832834304872102,  6.973031662901803 ]",	2,	18
"[  77.62789841546656,  64.7670971247337,  1.3076081457273148,  0.7193261813103649,  7.420250846502711 ]",	2,	19
"[  78.81725166148239,  66.5461224640875,  1.3360158691225066,  0.7400714735789082,  9.51105045383838 ]",	2,	20
"[  79.38817338558668,  67.50823400550425,  1.4201966452124488,  0.8191125184061211,  9.613825185367148 ]",	2,	21
"[  80.13173013955705,  68.48958046788714,  1.47306985759289,  0.90871256889399,  9.561813996747901 ]",	2,	22
"[  80.73474939823595,  69.51093685966961,  1.4751063908826698,  0.8544265566377175,  10.385178021647448 ]",	2,	23
"[  81.52477472361,  70.60987332997315,  1.5622568850505816,  0.942351796279298,  9.972057687324252 ]",	2,	24
"[  82.9030184123013,  72.95334438595457,  1.6158749774789507,  1.0001552421503517,  12.339087278333011 ]",	2,	25
"[  83.67618172131269,  74.21468782680422,  1.7257889936388442,  1.0696945417501056,  11.38386247107644 ]",	2,	26
"[  84.5875312068248,  75.5272469779976,  1.616956378911985,  1.052670844423286,  12.505965986560852 ]",	2,	27
"[  85.31974421300788,  76.88032822706874,  1.876874260750227,  1.0661502887870604,  12.578935237488338 ]",	2,	28
"[  86.32582485788444,  78.299884143015,  1.7135968051462387,  1.0986683657777907,  16.042105577912935 ]",	2,	29
"[  88.21122425388161,  81.52748816364107,  1.9987691317683445,  1.3453456832726565,  12.399666426318333 ]",	2,	30
"[  89.25314970398671,  83.13805101217085,  2.0185137094756342,  1.3362082081608913,  19.72895143717011 ]",	2,	31
"[  90.42328780772685,  84.90452806070408,  2.0728448410300375,  1.3930433664399362,  17.846047557703514 ]",	2,	32
"[  91.58462407543551,  86.82782318967132,  2.2211419628317084,  1.3594863475094319,  19.5881060352105 ]",	2,	33
"[  92.64016023574689,  88.84857489401902,  2.3855657218585407,  1.5068147579090945,  20.90017142642091 ]",	2,	34
"[  95.57819722172522,  93.34468791867981,  2.572172203564615,  1.699266239646829,  22.872387312856176 ]",	2,	35
"[  97.07978537107522,  95.86259818485692,  2.5700531364079837,  1.740041178740498,  21.575754293858154 ]",	2,	36
