Parameters,Group ID,Image
"[42.28938129521506, 29.57676321836093, 0.6372181163703203, 0.2634766189247628, 0]",858,170
"[40.909099310913376, 33.060872838299595, 0.6718708609671626, 0.3729674012666036, 359.8022887628767]",858,180
"[38.94341691201141, 36.67902545530209, 0.9239683979274915, 0.4492612186552671, 355.91438322002716]",858,190
"[36.35712088965478, 40.63809866987587, 0.9546308717175187, 0.574740828339323, 356.08175113593325]",858,200
"[32.76556845025763, 46.069372168294294, 1.380041134297097, 0.8734452618650249, 353.904116007103]",858,210
"[27.762357908530138, 54.10438561306798, 1.7972838044169022, 1.206849518840859, 351.25383773744556]",858,220
"[20.68753887344253, 63.88340155251807, 2.3296718139943335, 1.8204665621007416, 347.1445089321554]",858,230
"[9.97387319798874, 78.98375468130932, 3.687445324868885, 2.3886728600415976, 338.17817650020515]",858,240
NULL,858,250
