Parameters,Group ID,Image
"[27.117787531662408, 80.44056160365896, 0.8706674997865708, 0.5925471182654732, 348.26142879327836]",17,0
"[26.538897756803852, 81.94877172176237, 0.9311833700464672, 0.6475149407385041, 344.47679562578304]",17,1
"[25.911837304003654, 83.61342996550036, 1.0068098409747916, 0.7205992164445305, 346.22840028291677]",17,2
"[25.280933905334223, 85.32207916653117, 0.966989010135356, 0.7207778903447171, 345.30015529687665]",17,3
NULL,17,4
"[23.063791018734545, 91.13123842885277, 1.1135262513887632, 0.8173172197642379, 346.731579026766]",17,5
"[22.218079731388976, 93.27682726278708, 1.1884407702223436, 1.004382246176707, 343.39212340871336]",17,6
"[21.38056180676398, 95.60118145428223, 1.232187593581825, 0.9513154476091912, 343.582767169567]",17,7
"[20.47559829251362, 98.02389418539195, 1.280801542808701, 1.0283709673692876, 339.81419699053544]",17,8
