Parameters,Group ID,Image
"[67.37048250392847, 70.75096311764068, 0.1851828177249928, 0.13803200174734798, 0]",120,0
NULL,120,1
NULL,120,2
NULL,120,3
NULL,120,4
NULL,120,5
NULL,120,6
NULL,120,7
NULL,120,8
NULL,120,9
"[73.57045074221685, 88.05242861497159, 0.29122504493008655, 0.2184514972979013, 13.840695491654571]",120,10
NULL,120,11
NULL,120,12
NULL,120,13
NULL,120,14
