Parameters,Group ID,Image
"[43.91146777453219, 37.15416694221511, 0.3834443186068555, 0.1174186238490833, 0]",695,93
NULL,695,94
NULL,695,95
"[43.54223846075585, 38.02058740150206, 0.43175275220865916, 0.1637820426941693, 0]",695,96
"[43.52867575330769, 38.21421003467064, 0.40867979537743077, 0.1711471309162882, 0]",695,97
"[43.34626168583753, 38.43900895573479, 0.5153239369451654, 0.17534368989442584, 0]",695,98
"[43.3481264441285, 38.68190416441442, 0.40991676802458776, 0.17932877375567938, 0]",695,99
"[43.08707499449291, 39.13954722657804, 0.3682142082535975, 0.21925445007772026, 0]",695,100
"[41.86648207295166, 42.892502036685634, 0.5514731342162023, 0.2556904328408365, 0]",695,110
"[40.15726269788017, 48.33537776630535, 0.610709607015302, 0.3569378258670036, 356.8891593465094]",695,120
"[37.79704621281289, 56.31920575542433, 0.7676179477412207, 0.4982683187833464, 355.4280909552694]",695,130
"[34.04238195208265, 69.11402043036301, 0.9866332781442213, 0.9020923043683954, 351.5178716402346]",695,140
"[27.427795695173206, 92.10400770904647, 1.6325436719196755, 1.347305413582207, 337.0459134623792]",695,150
