Parameters,Group ID,Image
"[35.640282866111725, 59.154445893661524, 0.21766687494664438, 0.1595319164560749, 0]",157,0
NULL,157,1
NULL,157,2
NULL,157,3
NULL,157,4
NULL,157,5
NULL,157,6
NULL,157,7
NULL,157,8
NULL,157,9
"[32.00506864527495, 68.42143065607922, 0.3904051981908736, 0.2489588006762441, 350.64702074990606]",157,10
NULL,157,11
NULL,157,12
NULL,157,13
NULL,157,14
NULL,157,15
NULL,157,16
NULL,157,17
"[27.99417162763371, 79.31847435992285, 0.4525794409131264, 0.3192056725324194, 341.79151552941886]",157,18
NULL,157,19
"[26.33578650069961, 84.12184096797482, 0.46700978795749726, 0.46846617429000087, 336.7869495489149]",157,20
"[25.664899413230213, 85.88594073382248, 0.482947425669094, 0.40935265198464005, 339.17910714668733]",157,21
NULL,157,22
"[24.309983861474084, 89.70173852889846, 0.5134745591688609, 0.4138561915324423, 337.9742429238543]",157,23
NULL,157,24
"[21.91436914239543, 96.48019036227278, 0.5586690527792355, 0.45821228092551153, 333.6208490125573]",157,25
NULL,157,26
NULL,157,27
