Parameters,Group ID,Image
"[82.03639089032656, 38.10262523230268, 0.9785332664063195, 0.46922971015124537, 8.626946545695489]",891,190
"[89.97277748029332, 42.67677394034062, 1.2137709748474634, 0.5782516418793051, 9.706652409324874]",891,200
NULL,891,210
