Parameters,Group ID,Image
"[30.619790365973792, 59.25510834608082, 0.4530770884143041, 0.21122881331352011, 353.00513113776583]",548,71
"[30.300205446289535, 60.054921993928176, 0.3602617481574048, 0.2553140894551561, 354.4939399403968]",548,72
"[29.83545975377439, 60.83595484835652, 0.5073420564254596, 0.23365709816485913, 353.3557469042499]",548,73
NULL,548,74
NULL,548,75
NULL,548,76
NULL,548,77
"[27.18567262314988, 66.639770059853, 0.5320033426222949, 0.3135798825246072, 351.5782611662552]",548,78
NULL,548,79
NULL,548,80
NULL,548,81
"[24.583727399736343, 72.659276845644, 0.4294366141209626, 0.3453739346405482, 349.6951535312337]",548,82
NULL,548,83
"[23.21131081115645, 75.50496751806739, 0.6603409984854883, 0.42876729040817274, 341.42135924767797]",548,84
NULL,548,85
NULL,548,86
NULL,548,87
"[19.53315315428035, 83.88009592976064, 0.681597434148849, 0.5616697165142791, 337.4231272029619]",548,88
"[18.694465476108316, 85.84210574491806, 0.6242772690315068, 0.5474497623076777, 341.0457683004905]",548,89
"[16.736049292935434, 90.13796468776644, 0.9547966149868258, 0.658433727877219, 343.9600566939507]",548,90
"[15.810535709677279, 92.56674770340818, 0.8138730948337968, 0.5685615726061094, 337.30570762182447]",548,91
"[14.727206932455761, 95.08807342506037, 0.8597824034227666, 0.622950554137599, 337.65946486703604]",548,92
"[13.559110384765095, 97.74999246485933, 0.8300747318092652, 0.6122280367176715, 328.3797605373742]",548,93
NULL,548,94
