Parameters,Group ID,Image
"[  9.732182340686482,  57.64056662727008,  1.7895448636526785,  0.6673447968095723,  353.3865395176855 ]",	4,	0
"[  9.07765168406683,  58.27942662043011,  1.9159543589551113,  0.6598794347427818,  351.753593652991 ]",	4,	1
"[  8.429958933198058,  58.78735293021001,  1.9564587347015,  0.8388976370814017,  351.7383865472276 ]",	4,	2
"[  7.650607777266074,  59.426443728663735,  1.9851651407592332,  0.7231368173333963,  351.30671563843566 ]",	4,	3
"[  7.063889275841877,  59.98498904501454,  1.8629388121151402,  0.807941580887509,  353.4801982483458 ]",	4,	4
"[  5.361185954717205,  61.42383289679363,  2.136635337799413,  0.7968968474303897,  349.6156823014734 ]",	4,	5
"[  4.654693603835211,  61.94959399945784,  1.988026349962102,  0.892393297097201,  352.68424324655655 ]",	4,	6
"[  3.642498185654465,  62.81858867489737,  2.219720667562567,  0.8523596250739904,  350.16652059773935 ]",	4,	7
"[  3.279128896167776,  63.46551482941483,  1.7085925334564773,  0.9035263189931453,  348.84534026107195 ]",	4,	8
"[  2.0619950085910403,  64.3733046430731,  1.966848501508269,  0.9218020375586106,  348.58427723260456 ]",	4,	9
