Parameters,Group ID,Image
"[40.328100631215946, 10.744678025152323, 0.8153924137349335, 0.9584454576426964, 0]",1222,350
"[27.99741541218164, 37.8268822544116, 1.168848464069189, 1.702657923883809, 31.009777228613814]",1222,360
"[19.554062336678253, 60.05033647740496, 1.3598820191184027, 1.964747669527558, 0]",1222,370
"[22.644407415352703, 44.39549592711372, 1.359375376497086, 1.9112081207288474, 32.51991419868523]",1222,380
"[18.384766907419568, 37.801608579088466, 1.9041365725541688, 2.4128686327077773, 0]",1222,390
