Parameters,Group ID,Image
"[  66.12579271931455,  50.46608824412496,  0.3983617986984456,  0.2232684492172936,  0 ]",	5,	0
"[  66.33770415560438,  50.764148594447,  0.4879261703743593,  0.20375048581982774,  1.2902492213571577 ]",	5,	1
NULL,	5,	2
"[  66.85807160974502,  51.46653045400913,  0.466631113567544,  0.19053061285881503,  2.3859440303899646 ]",	5,	3
"[  67.09122123623885,  51.87448896267688,  0.48015915813385823,  0.22627667779931937,  1.0997978319670096 ]",	5,	4
"[  67.58346760075328,  52.64659569812251,  0.47719070284145465,  0.19101400797495677,  1.8476102659931257 ]",	5,	5
"[  67.8951540229728,  53.06293866210618,  0.4400695823116788,  0.23548843113489012,  2.4470486423516604 ]",	5,	6
"[  68.12458318482165,  53.504335800235516,  0.5132942249243226,  0.209583674144703,  4.028263666489522 ]",	5,	7
"[  68.45874466658908,  53.95783172553025,  0.5265572458873743,  0.25270525197726623,  2.838787841008525 ]",	5,	8
"[  68.749426616561,  54.44410442639186,  0.4755668161521668,  0.22100794311150207,  3.5214533769192826 ]",	5,	9
"[  69.38210313157107,  55.40428393498368,  0.4982449039741455,  0.22661412415148183,  6.25403274391698 ]",	5,	10
"[  69.70400829980287,  55.88442939780426,  0.5670649364731443,  0.2647767833485592,  6.340191745902359 ]",	5,	11
"[  70.0595136397014,  56.44440928718999,  0.5156884753311027,  0.3085276236793956,  4.16650488555797 ]",	5,	12
"[  70.35867555747984,  57.02232764986034,  0.5103643880657243,  0.2604736472385624,  4.205357001712741 ]",	5,	13
"[  70.75992768122518,  57.55165904352694,  0.6168759546071785,  0.31081460618219964,  2.371260256999051 ]",	5,	14
"[  71.459872910552,  58.833260640342324,  0.6218535351264949,  0.3134594445287463,  5.7823923223639895 ]",	5,	15
"[  71.91288451259948,  59.447197456363234,  0.586861567201795,  0.304645816900989,  6.064922445460411 ]",	5,	16
"[  72.24082272198588,  60.126862854679,  0.6329794322985259,  0.31517311315867136,  5.964487101255713 ]",	5,	17
"[  72.70363549045454,  60.798472567060394,  0.6592887803006136,  0.3779179209686067,  4.853096386989421 ]",	5,	18
"[  73.10497027588895,  61.52710661678127,  0.6379513938344972,  0.3484494158076889,  5.157231929980355 ]",	5,	19
"[  74.09728480395756,  63.03677476937668,  0.6284644843345389,  0.3597084245890388,  5.590493320299345 ]",	5,	20
"[  74.57466650572735,  63.851780452020456,  0.6574288629865696,  0.39894298277468415,  7.759092451186007 ]",	5,	21
"[  75.06678616809668,  64.67882104362744,  0.7028713550060737,  0.4383853688272812,  8.909813646760881 ]",	5,	22
"[  75.58382720413283,  65.55314814859659,  0.7056812322046381,  0.4060006321651011,  5.4255034365669985 ]",	5,	23
"[  76.16417342292682,  66.46402577546755,  0.7619941162984676,  0.46849329045696303,  6.293948188941783 ]",	5,	24
"[  77.27365252477219,  68.41568329378475,  0.8477044202660102,  0.45525486267281867,  7.208604451466556 ]",	5,	25
"[  77.85442225224747,  69.48063568433119,  0.8466950219673957,  0.4972746135737042,  6.394397765217377 ]",	5,	26
"[  78.46028533043781,  70.57934035035177,  0.7627249356418655,  0.4503441219943884,  5.993027387827738 ]",	5,	27
"[  79.05221719664226,  71.72090176373726,  0.8894479370097597,  0.5450714668484752,  8.04772765998274 ]",	5,	28
"[  79.78180149216573,  72.92464173489536,  0.8028031824273809,  0.5463000628083562,  10.30817491465217 ]",	5,	29
"[  81.2271924165851,  75.50280048135909,  0.9401438722968966,  0.6513282101355037,  8.42137432770437 ]",	5,	30
"[  82.00953707357993,  76.83184896965304,  0.9644075536298505,  0.6599775010655496,  11.596317168018402 ]",	5,	31
"[  82.73198000219908,  78.17234979151134,  1.1171905916084666,  0.7259226136169673,  17.846047557703628 ]",	5,	32
"[  83.69857963265778,  79.82740260358268,  1.0395792138772002,  0.7181199691635289,  14.001770832410102 ]",	5,	33
"[  84.57013675110605,  81.44870305639982,  1.0632169996852012,  0.7169384593097594,  16.697536413029752 ]",	5,	34
"[  86.42104509056742,  84.897709944151,  1.1722317549870673,  0.7676556597743651,  15.824456955013147 ]",	5,	35
"[  87.50592640480069,  86.76159817206899,  1.1282841464872377,  0.8424595924358654,  21.57575429385821 ]",	5,	36
"[  88.65141335039584,  88.77569663370575,  1.258501142544433,  0.8110403120708485,  22.561517993379084 ]",	5,	37
"[  89.77556754184963,  90.92446733494276,  1.3136213695202723,  0.8938663797634302,  20.933183133647844 ]",	5,	38
"[  91.07710665427086,  93.25432215391913,  1.2247421750985743,  0.8901643901022523,  24.254203570127004 ]",	5,	39
