Parameters,Group ID,Image
"[48.72764513744677, 57.43930690861706, 0.31921392007557614, 0.1801602469635739, 0]",529,68
NULL,529,69
NULL,529,70
NULL,529,71
NULL,529,72
NULL,529,73
NULL,529,74
NULL,529,75
NULL,529,76
NULL,529,77
NULL,529,78
NULL,529,79
NULL,529,80
"[48.347562952260176, 73.55131768949332, 0.5176498301192609, 0.3913954128303061, 0]",529,81
NULL,529,82
NULL,529,83
NULL,529,84
NULL,529,85
NULL,529,86
"[48.04576464572755, 85.18061424488462, 0.5557868186035861, 0.5463000628083563, 0]",529,87
NULL,529,88
"[48.00347859393091, 89.40884012881189, 0.6221384069396336, 0.6171001008957973, 0]",529,89
"[47.92066953031902, 94.05079231601697, 0.6164602129678016, 0.7118710049210506, 0]",529,90
"[47.8331937280615, 96.63815345964088, 0.6736809922467586, 0.6876504287098157, 0]",529,91
NULL,529,92
NULL,529,93
