Parameters,Group ID,Image
"[  52.93555368663744,  69.22141466798257,  0.5860262017794327,  0.3418541066916134,  0 ]",	8,	0
"[  53.0800890456346,  70.21567079430513,  0.621086012158429,  0.3622803510215533,  0 ]",	8,	1
"[  53.15944596020247,  71.28133502774244,  0.6102499143817894,  0.41918788348168334,  0 ]",	8,	2
"[  53.269379363249136,  72.40624184215764,  0.6086202952674071,  0.40918717333012466,  0 ]",	8,	3
"[  53.313575656004886,  73.59019894615221,  0.6849750578316995,  0.43039584642154666,  2.6025622024981203 ]",	8,	4
"[  53.46976081717527,  76.10859914594428,  0.6555026931224361,  0.4306819579772139,  0 ]",	8,	5
"[  53.596554679353524,  77.4106258673922,  0.6739188998730526,  0.5134143522874018,  2.2545749659349212 ]",	8,	6
"[  53.650650959895586,  78.89557802504643,  0.7272173198455576,  0.5278770226391458,  0 ]",	8,	7
"[  53.782574623687,  80.36430454462173,  0.7797453018141809,  0.5716008554650074,  0 ]",	8,	8
"[  53.92791049734844,  81.98032399589795,  0.7217509380476641,  0.5778173741243479,  0 ]",	8,	9
"[  54.0592252364741,  85.2954172923808,  0.7941419475050964,  0.6570550183377577,  0 ]",	8,	10
"[  54.26858273675319,  87.15559985263003,  0.8139379852370846,  0.6686717222711744,  0 ]",	8,	11
"[  54.41098124599454,  89.0850131264163,  0.8228717107511373,  0.7153446361191559,  5.1281910418513235 ]",	8,	12
"[  54.528904918619816,  91.22957638066659,  0.842101240308446,  0.7466911220839163,  0 ]",	8,	13
"[  54.67112232655171,  93.33361269829201,  0.8775133665801031,  0.826371522472286,  3.224522606514938 ]",	8,	14
"[  55.01310947934507,  98.25984671392638,  1.0199119585372882,  0.850151223730563,  0 ]",	8,	15
